date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Russia,Yekaterinburg,18.7,47,17.4,1,3.6,143
2026-05-17,Russia,Yekaterinburg,27.6,21,24.7,2,9.4,178
2026-05-17,Russia,Yekaterinburg,27.3,19,24.2,2,8.6,178
2026-05-17,Russia,Yekaterinburg,26.3,22,23.6,0,7.4,166
2026-05-18,Russia,Yekaterinburg,20.7,43,19.3,0,4.8,207
2026-05-19,Russia,Yekaterinburg,23.1,36,21.9,2,3.3,6
2026-05-20,Russia,Yekaterinburg,12.3,46,9.5,0,5.1,45
2026-05-21,Russia,Yekaterinburg,13.2,36,10.3,2,4.1,165
2026-05-22,Russia,Yekaterinburg,19.3,37,16.9,3,6.5,270
2026-05-23,Russia,Yekaterinburg,24.7,45,23.4,3,13.0,318
2026-05-24,Russia,Yekaterinburg,27.7,25,24.1,0,17.2,254
2026-05-25,Russia,Yekaterinburg,21.6,35,19.9,1,4.3,204
2026-05-26,Russia,Yekaterinburg,19.2,51,17.8,1,7.7,143
2026-05-27,Russia,Yekaterinburg,21.3,44,18.8,2,14.0,113
2026-05-28,Russia,Yekaterinburg,11.9,81,9.9,3,10.8,249
2026-05-29,Russia,Yekaterinburg,10.3,75,8.8,0,3.3,131
2026-05-30,Russia,Yekaterinburg,18.8,37,15.9,3,9.9,100
2026-05-31,Russia,Yekaterinburg,15.2,79,15.3,3,2.3,231
2026-06-01,Russia,Yekaterinburg,12.9,85,12.7,3,1.8,169
2026-06-02,Russia,Yekaterinburg,10.5,98,10.1,45,3.2,180
2026-06-03,Russia,Yekaterinburg,14.5,69,13.7,3,2.9,60
2026-06-04,Russia,Yekaterinburg,14.8,95,15.3,80,5.9,79
2026-06-05,Russia,Yekaterinburg,14.4,90,14.7,2,4.0,360
2026-06-06,Russia,Yekaterinburg,18.4,61,17.3,3,9.2,321
2026-06-07,Russia,Yekaterinburg,16.8,85,17.7,95,3.5,246
2026-06-08,Russia,Yekaterinburg,16.2,83,16.5,3,4.6,162
2026-06-09,Russia,Yekaterinburg,15.6,91,15.4,80,10.4,346
2026-06-10,Russia,Yekaterinburg,13.2,91,12.4,3,8.8,261
2026-06-11,Russia,Yekaterinburg,13.4,93,13.7,45,2.2,261
2026-06-12,Russia,Yekaterinburg,18.2,66,18.2,0,4.0,63
2026-06-13,Russia,Yekaterinburg,18.8,83,19.8,3,6.9,43
2026-06-14,Russia,Yekaterinburg,20.0,79,20.9,80,8.6,57
2026-06-15,Russia,Yekaterinburg,21.6,58,21.2,3,8.6,147
2026-06-16,Russia,Yekaterinburg,23.3,63,24.5,80,5.6,225
2026-06-17,Russia,Yekaterinburg,25.3,49,25.5,3,6.6,261
2026-06-18,Russia,Yekaterinburg,22.9,70,24.7,2,4.8,193
2026-06-19,Russia,Yekaterinburg,23.9,46,22.9,1,10.5,243
2026-06-20,Russia,Yekaterinburg,27.5,33,26.0,3,9.7,178
2026-06-21,Russia,Yekaterinburg,23.2,72,24.4,3,10.9,171
2026-06-22,Russia,Yekaterinburg,26.6,52,26.6,2,13.4,175
2026-06-23,Russia,Yekaterinburg,19.9,78,20.6,3,8.8,189
2026-06-24,Russia,Yekaterinburg,20.8,68,20.4,80,13.4,239
2026-06-25,Russia,Yekaterinburg,21.7,33,18.7,1,11.9,299
2026-06-26,Russia,Yekaterinburg,23.7,38,22.1,2,8.1,167
2026-06-27,Russia,Yekaterinburg,19.5,68,19.2,61,9.5,65
2026-06-29,Russia,Yekaterinburg,16.3,96,17.4,65,5.6,75
2026-06-30,Russia,Yekaterinburg,20.5,52,19.7,3,6.0,237
2026-07-01,Russia,Yekaterinburg,19.7,72,20.1,3,7.6,5
2026-07-02,Russia,Yekaterinburg,20.4,70,21.1,2,5.9,38
2026-07-03,Russia,Yekaterinburg,19.4,79,19.7,80,10.9,351
2026-07-04,Russia,Yekaterinburg,25.3,45,24.4,2,11.5,319
2026-07-05,Russia,Yekaterinburg,27.7,41,27.9,3,5.8,270
2026-07-06,Russia,Yekaterinburg,31.0,35,31.4,1,5.4,188
2026-07-07,Russia,Yekaterinburg,27.2,63,30.3,3,3.7,191
2026-07-08,Russia,Yekaterinburg,22.8,80,25.6,80,3.9,236
2026-07-09,Russia,Yekaterinburg,26.9,51,28.5,3,2.5,45
2026-07-10,Russia,Yekaterinburg,24.9,81,28.1,80,9.7,132
2026-07-11,Russia,Yekaterinburg,25.0,74,28.1,2,7.1,165
2026-07-12,Russia,Yekaterinburg,24.9,64,26.5,3,7.6,262
2026-07-13,Russia,Yekaterinburg,20.5,72,20.6,3,11.4,72
2026-07-14,Russia,Yekaterinburg,19.0,77,19.0,3,11.2,130
2026-07-15,Russia,Yekaterinburg,20.4,84,21.2,95,13.2,154
2026-07-16,Russia,Yekaterinburg,20.5,69,20.1,80,13.0,276
