date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Thailand,Bangkok,27.4,86,33.0,3,6.1,246
2026-05-17,Thailand,Bangkok,29.5,75,35.5,3,3.3,131
2026-05-17,Thailand,Bangkok,29.4,73,35.2,3,2.3,135
2026-05-17,Thailand,Bangkok,27.5,81,32.0,51,10.7,226
2026-05-18,Thailand,Bangkok,28.5,73,33.5,3,3.8,259
2026-05-19,Thailand,Bangkok,27.8,82,33.6,3,3.3,209
2026-05-20,Thailand,Bangkok,27.8,91,34.5,95,6.1,152
2026-05-21,Thailand,Bangkok,28.4,87,35.2,95,4.4,232
2026-05-22,Thailand,Bangkok,27.5,94,34.2,95,7.1,171
2026-05-23,Thailand,Bangkok,29.5,79,35.4,95,8.7,186
2026-05-24,Thailand,Bangkok,29.2,77,34.0,95,13.3,188
2026-05-25,Thailand,Bangkok,28.9,85,35.5,95,5.0,193
2026-05-26,Thailand,Bangkok,26.5,94,32.1,51,8.7,198
2026-05-27,Thailand,Bangkok,26.8,96,33.4,95,5.5,107
2026-05-28,Thailand,Bangkok,28.8,77,34.6,95,3.6,123
2026-05-29,Thailand,Bangkok,28.0,87,34.6,3,4.0,216
2026-05-30,Thailand,Bangkok,29.4,79,35.7,95,4.8,167
2026-05-31,Thailand,Bangkok,26.0,94,32.1,81,3.5,282
2026-06-01,Thailand,Bangkok,27.2,93,34.5,3,1.5,144
2026-06-02,Thailand,Bangkok,27.9,86,34.4,3,3.5,258
2026-06-03,Thailand,Bangkok,28.8,74,33.5,3,7.4,203
2026-06-04,Thailand,Bangkok,28.2,81,33.5,3,8.4,190
2026-06-05,Thailand,Bangkok,28.4,77,33.2,3,9.0,200
