date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Denmark,Odense,10.3,84,6.9,3,19.8,237
2026-05-17,Denmark,Odense,15.8,46,12.8,2,16.9,192
2026-05-17,Denmark,Odense,16.4,43,12.8,3,16.6,192
2026-05-17,Denmark,Odense,15.8,45,11.7,3,18.4,197
2026-05-18,Denmark,Odense,17.6,55,14.0,3,21.6,124
2026-05-19,Denmark,Odense,17.6,43,14.8,1,11.2,184
2026-05-20,Denmark,Odense,15.7,85,14.8,3,13.0,196
2026-05-21,Denmark,Odense,18.7,53,15.7,2,19.1,267
2026-05-22,Denmark,Odense,21.3,60,20.5,2,12.6,265
2026-05-23,Denmark,Odense,25.2,52,24.4,2,17.6,212
2026-05-24,Denmark,Odense,20.8,41,19.0,1,16.6,306
2026-05-25,Denmark,Odense,23.8,49,21.2,0,23.4,264
2026-05-26,Denmark,Odense,23.5,54,22.0,1,18.4,332
2026-05-27,Denmark,Odense,18.6,41,14.9,0,17.3,317
2026-05-28,Denmark,Odense,21.3,39,20.0,0,3.2,273
2026-05-29,Denmark,Odense,22.0,58,20.4,3,18.4,271
2026-05-30,Denmark,Odense,19.7,49,16.4,3,20.9,286
2026-05-31,Denmark,Odense,16.0,63,14.6,3,7.9,47
2026-06-01,Denmark,Odense,17.2,71,16.4,3,10.1,200
2026-06-02,Denmark,Odense,19.5,65,17.1,3,22.7,124
2026-06-03,Denmark,Odense,15.4,88,14.9,2,11.2,171
2026-06-04,Denmark,Odense,18.3,79,17.9,51,13.3,185
2026-06-05,Denmark,Odense,19.3,57,17.1,2,16.6,260
2026-06-06,Denmark,Odense,21.3,40,19.5,2,11.9,201
2026-06-07,Denmark,Odense,20.2,83,20.4,3,16.2,233
2026-06-08,Denmark,Odense,18.5,65,17.0,3,14.8,112
2026-06-09,Denmark,Odense,16.5,54,12.6,1,22.3,254
2026-06-10,Denmark,Odense,16.4,69,14.5,3,14.8,209
2026-06-11,Denmark,Odense,15.4,70,14.7,2,4.7,217
2026-06-12,Denmark,Odense,15.9,87,14.9,53,15.5,234
2026-06-13,Denmark,Odense,15.8,75,12.7,3,24.1,276
2026-06-14,Denmark,Odense,17.4,68,14.9,3,19.8,306
