date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Denmark,Odense,10.3,84,6.9,3,19.8,237
2026-05-17,Denmark,Odense,15.8,46,12.8,2,16.9,192
2026-05-17,Denmark,Odense,16.4,43,12.8,3,16.6,192
2026-05-17,Denmark,Odense,15.8,45,11.7,3,18.4,197
2026-05-18,Denmark,Odense,17.6,55,14.0,3,21.6,124
2026-05-19,Denmark,Odense,17.6,43,14.8,1,11.2,184
2026-05-20,Denmark,Odense,15.7,85,14.8,3,13.0,196
2026-05-21,Denmark,Odense,18.7,53,15.7,2,19.1,267
2026-05-22,Denmark,Odense,21.3,60,20.5,2,12.6,265
2026-05-23,Denmark,Odense,25.2,52,24.4,2,17.6,212
2026-05-24,Denmark,Odense,20.8,41,19.0,1,16.6,306
