date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Ireland,Belfast,11.5,65,8.2,0,14.0,272
2026-05-17,Ireland,Belfast,11.6,60,8.5,3,11.9,206
2026-05-17,Ireland,Belfast,12.4,59,9.2,3,13.0,211
2026-05-17,Ireland,Belfast,12.1,68,10.7,3,3.6,344
2026-05-18,Ireland,Belfast,11.9,60,8.1,3,16.2,161
2026-05-19,Ireland,Belfast,13.5,86,11.9,3,13.3,181
2026-05-20,Ireland,Belfast,15.9,66,13.7,3,13.7,224
2026-05-21,Ireland,Belfast,17.1,87,16.9,51,12.6,178
2026-05-22,Ireland,Belfast,17.4,68,15.4,3,16.9,200
2026-05-23,Ireland,Belfast,18.4,45,16.3,3,14.8,228
2026-05-24,Ireland,Belfast,21.2,47,19.9,1,13.0,208
2026-05-25,Ireland,Belfast,20.7,52,18.8,0,13.7,45
2026-05-26,Ireland,Belfast,21.4,42,18.9,0,13.0,46
2026-05-27,Ireland,Belfast,20.6,57,19.5,0,11.5,58
2026-05-28,Ireland,Belfast,19.3,69,18.3,2,14.4,195
2026-05-29,Ireland,Belfast,20.4,44,17.5,2,15.1,248
2026-05-30,Ireland,Belfast,16.7,75,15.3,51,13.7,180
2026-05-31,Ireland,Belfast,17.2,60,15.6,3,9.7,263
2026-06-01,Ireland,Belfast,17.0,74,16.1,3,10.4,227
2026-06-02,Ireland,Belfast,15.1,75,13.1,3,15.1,268
2026-06-03,Ireland,Belfast,12.8,93,11.1,63,14.8,204
2026-06-04,Ireland,Belfast,13.8,81,10.8,3,21.2,274
