date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Japan,Yokohama,14.7,87,14.7,0,5.4,312
2026-05-17,Japan,Yokohama,19.5,73,20.2,0,5.4,127
2026-05-17,Japan,Yokohama,18.9,82,20.0,0,5.4,132
2026-05-17,Japan,Yokohama,17.9,87,19.3,0,3.4,32
2026-05-18,Japan,Yokohama,18.9,74,19.1,0,7.9,210
2026-05-19,Japan,Yokohama,19.7,84,20.6,0,10.5,221
2026-05-20,Japan,Yokohama,20.2,96,23.2,2,4.1,232
2026-05-21,Japan,Yokohama,14.9,94,14.7,61,10.0,345
2026-05-22,Japan,Yokohama,13.2,74,11.2,2,11.3,7
2026-05-23,Japan,Yokohama,15.8,76,15.0,1,8.7,30
2026-05-24,Japan,Yokohama,19.7,82,21.2,2,4.8,77
2026-05-25,Japan,Yokohama,18.5,93,20.5,1,4.2,31
2026-05-26,Japan,Yokohama,18.8,95,20.9,1,5.4,356
2026-05-27,Japan,Yokohama,20.5,90,22.6,1,7.8,202
2026-05-28,Japan,Yokohama,21.0,99,25.0,3,2.4,243
2026-05-29,Japan,Yokohama,18.7,53,17.5,1,6.3,13
2026-05-30,Japan,Yokohama,21.3,72,22.2,0,8.6,213
2026-05-31,Japan,Yokohama,19.6,87,21.8,0,3.3,221
2026-06-01,Japan,Yokohama,21.3,77,22.7,1,7.7,191
2026-06-02,Japan,Yokohama,20.5,94,21.7,65,16.6,85
2026-06-03,Japan,Yokohama,18.6,76,18.8,2,8.3,360
2026-06-04,Japan,Yokohama,17.7,73,17.4,2,8.3,2
2026-06-05,Japan,Yokohama,16.2,81,15.8,3,9.0,358
2026-06-06,Japan,Yokohama,19.1,80,19.7,3,8.5,78
2026-06-07,Japan,Yokohama,19.5,93,21.3,61,8.9,117
2026-06-08,Japan,Yokohama,20.5,93,23.0,53,7.4,227
2026-06-09,Japan,Yokohama,19.8,86,21.6,2,5.6,230
2026-06-10,Japan,Yokohama,18.6,77,19.9,3,1.5,76
2026-06-11,Japan,Yokohama,19.2,94,21.2,2,7.2,342
2026-06-12,Japan,Yokohama,18.7,91,20.8,1,3.3,354
2026-06-13,Japan,Yokohama,21.3,82,23.0,3,8.7,210
2026-06-14,Japan,Yokohama,21.7,81,23.6,3,7.3,171
2026-06-15,Japan,Yokohama,17.8,85,18.7,1,6.1,360
2026-06-16,Japan,Yokohama,20.2,81,21.9,1,4.7,180
2026-06-17,Japan,Yokohama,21.8,82,24.3,3,4.7,157
2026-06-18,Japan,Yokohama,22.3,88,25.9,2,2.0,315
2026-06-19,Japan,Yokohama,22.9,93,27.4,1,1.8,101
