date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Ukraine,Kyiv,18.0,47,16.2,2,6.3,121
2026-05-17,Ukraine,Kyiv,19.6,56,18.6,3,8.4,47
2026-05-17,Ukraine,Kyiv,19.6,55,18.4,3,8.9,50
2026-05-17,Ukraine,Kyiv,19.8,54,18.7,3,8.2,38
2026-05-18,Ukraine,Kyiv,20.0,67,20.7,3,3.7,151
2026-05-19,Ukraine,Kyiv,20.7,69,21.1,3,8.0,324
2026-05-20,Ukraine,Kyiv,22.1,58,22.0,3,8.8,9
2026-05-21,Ukraine,Kyiv,26.0,37,25.5,3,4.4,9
2026-05-22,Ukraine,Kyiv,24.6,55,24.5,3,11.9,335
2026-05-23,Ukraine,Kyiv,23.0,38,21.8,1,12.4,352
2026-05-24,Ukraine,Kyiv,23.2,35,20.8,3,10.6,336
2026-05-25,Ukraine,Kyiv,20.6,35,17.3,3,13.9,329
2026-05-26,Ukraine,Kyiv,19.2,52,17.1,3,12.3,302
2026-05-27,Ukraine,Kyiv,16.0,45,13.1,2,10.5,308
2026-05-28,Ukraine,Kyiv,13.1,44,9.5,1,11.4,305
2026-05-29,Ukraine,Kyiv,11.5,60,8.6,3,10.6,305
2026-05-30,Ukraine,Kyiv,13.0,53,9.7,3,12.2,336
2026-05-31,Ukraine,Kyiv,13.7,61,11.9,2,6.0,327
2026-06-01,Ukraine,Kyiv,13.9,60,12.5,0,3.5,246
2026-06-02,Ukraine,Kyiv,16.8,50,15.3,3,3.5,204
2026-06-03,Ukraine,Kyiv,15.1,91,15.6,3,4.7,94
2026-06-04,Ukraine,Kyiv,19.1,65,18.9,1,5.9,104
2026-06-05,Ukraine,Kyiv,24.3,43,23.8,3,5.9,133
2026-06-06,Ukraine,Kyiv,27.5,41,27.8,3,4.6,198
2026-06-07,Ukraine,Kyiv,20.9,87,23.3,95,5.4,90
2026-06-08,Ukraine,Kyiv,16.6,89,16.5,61,11.6,286
2026-06-09,Ukraine,Kyiv,19.9,66,20.6,2,2.2,99
2026-06-10,Ukraine,Kyiv,22.7,50,22.9,0,1.8,53
2026-06-11,Ukraine,Kyiv,23.2,58,24.0,1,4.1,142
2026-06-12,Ukraine,Kyiv,16.7,74,15.0,3,15.8,297
2026-06-13,Ukraine,Kyiv,20.1,40,17.5,1,10.7,303
2026-06-14,Ukraine,Kyiv,21.6,59,21.0,95,11.3,248
2026-06-15,Ukraine,Kyiv,19.1,49,16.6,1,14.0,271
2026-06-16,Ukraine,Kyiv,19.9,45,16.9,2,15.9,265
2026-06-17,Ukraine,Kyiv,22.7,34,19.9,2,11.9,273
2026-06-18,Ukraine,Kyiv,22.2,41,20.1,3,11.5,311
2026-06-19,Ukraine,Kyiv,25.1,40,24.1,2,10.6,325
2026-06-20,Ukraine,Kyiv,24.7,39,24.0,2,9.8,8
2026-06-21,Ukraine,Kyiv,27.4,35,26.9,1,9.0,5
2026-06-22,Ukraine,Kyiv,29.5,42,29.7,2,10.5,311
2026-06-23,Ukraine,Kyiv,27.4,46,28.3,3,8.7,343
2026-06-24,Ukraine,Kyiv,27.8,32,26.9,3,8.7,315
2026-06-25,Ukraine,Kyiv,27.1,38,25.9,2,13.2,317
