date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,UAE,Al Ain,30.9,24,29.8,0,3.7,61
2026-05-17,UAE,Al Ain,43.3,8,39.5,0,14.0,279
2026-05-17,UAE,Al Ain,41.3,15,38.4,0,19.2,315
2026-05-17,UAE,Al Ain,38.5,20,36.6,0,15.3,342
2026-05-18,UAE,Al Ain,27.0,40,26.1,0,10.2,298
2026-05-19,UAE,Al Ain,30.1,27,29.1,0,5.2,358
2026-05-20,UAE,Al Ain,29.9,44,30.8,0,9.4,308
2026-05-21,UAE,Al Ain,30.8,30,29.3,0,12.3,337
2026-05-22,UAE,Al Ain,35.3,17,33.2,0,8.2,10
2026-05-23,UAE,Al Ain,41.0,9,36.9,0,16.5,308
2026-05-24,UAE,Al Ain,42.0,7,38.1,0,13.5,228
2026-05-25,UAE,Al Ain,36.5,17,34.6,0,7.8,341
2026-05-26,UAE,Al Ain,34.5,31,35.2,0,6.0,9
2026-05-27,UAE,Al Ain,34.8,29,35.1,3,7.2,348
2026-05-28,UAE,Al Ain,35.4,28,35.9,0,5.1,48
2026-05-29,UAE,Al Ain,34.2,24,33.7,0,5.8,56
2026-05-30,UAE,Al Ain,42.5,7,37.4,0,20.1,316
2026-05-31,UAE,Al Ain,40.2,11,36.6,0,14.2,291
2026-06-01,UAE,Al Ain,29.9,43,31.7,0,1.8,174
2026-06-02,UAE,Al Ain,30.8,44,32.9,0,2.1,232
2026-06-03,UAE,Al Ain,30.8,44,33.0,0,1.7,328
2026-06-04,UAE,Al Ain,33.6,32,33.4,0,11.2,332
2026-06-05,UAE,Al Ain,33.9,40,35.5,0,10.9,333
2026-06-06,UAE,Al Ain,44.0,9,40.3,0,15.2,246
2026-06-07,UAE,Al Ain,42.0,13,39.1,0,15.9,309
2026-06-08,UAE,Al Ain,34.9,21,34.1,0,3.8,281
2026-06-09,UAE,Al Ain,33.5,32,33.8,0,8.5,295
2026-06-10,UAE,Al Ain,32.6,38,34.1,0,4.9,2
2026-06-11,UAE,Al Ain,32.0,37,33.2,0,4.3,345
2026-06-12,UAE,Al Ain,36.0,19,34.4,0,8.1,329
2026-06-13,UAE,Al Ain,40.9,12,38.3,0,9.5,256
2026-06-14,UAE,Al Ain,45.1,7,41.5,0,16.9,211
2026-06-15,UAE,Al Ain,38.3,14,34.6,0,18.3,310
2026-06-16,UAE,Al Ain,38.8,15,35.3,0,18.8,287
2026-06-17,UAE,Al Ain,41.2,9,37.8,0,11.2,213
2026-06-18,UAE,Al Ain,43.5,7,39.4,0,13.3,210
2026-06-19,UAE,Al Ain,44.7,7,41.1,0,10.7,257
2026-06-20,UAE,Al Ain,45.9,6,42.1,0,18.5,319
2026-06-21,UAE,Al Ain,45.4,7,41.6,0,18.2,308
2026-06-22,UAE,Al Ain,42.6,12,40.0,0,11.7,331
2026-06-23,UAE,Al Ain,45.4,11,43.2,1,10.6,284
2026-06-24,UAE,Al Ain,46.4,10,45.4,1,5.0,210
2026-06-25,UAE,Al Ain,43.2,19,42.9,1,14.0,195
2026-06-26,UAE,Al Ain,42.5,10,39.6,0,14.4,292
2026-06-27,UAE,Al Ain,42.2,14,41.3,0,11.9,280
2026-06-29,UAE,Al Ain,43.2,15,41.7,0,12.6,299
2026-06-30,UAE,Al Ain,44.9,11,42.6,0,14.8,313
2026-07-01,UAE,Al Ain,44.0,12,41.9,3,14.3,317
2026-07-02,UAE,Al Ain,44.1,10,41.9,0,12.9,324
2026-07-03,UAE,Al Ain,45.0,18,46.4,0,7.2,284
2026-07-04,UAE,Al Ain,45.1,14,44.6,0,13.2,299
2026-07-05,UAE,Al Ain,44.4,10,42.2,0,16.2,291
2026-07-06,UAE,Al Ain,42.6,10,38.6,0,17.3,298
2026-07-07,UAE,Al Ain,43.9,9,42.1,0,8.5,294
2026-07-08,UAE,Al Ain,46.4,12,46.2,0,10.1,266
2026-07-09,UAE,Al Ain,45.1,15,44.4,3,9.1,253
2026-07-10,UAE,Al Ain,44.7,15,43.7,1,12.2,211
2026-07-11,UAE,Al Ain,44.2,15,43.9,3,15.3,230
2026-07-12,UAE,Al Ain,44.6,8,42.9,0,12.5,265
2026-07-13,UAE,Al Ain,44.6,14,43.7,0,10.6,270
2026-07-14,UAE,Al Ain,44.2,12,43.6,2,9.9,228
2026-07-15,UAE,Al Ain,44.6,15,43.3,2,13.6,79
2026-07-16,UAE,Al Ain,44.5,15,42.7,1,21.3,94
2026-07-17,UAE,Al Ain,44.0,13,43.5,1,8.1,111
2026-07-18,UAE,Al Ain,43.5,21,46.0,1,6.4,320
2026-07-19,UAE,Al Ain,44.8,18,46.9,0,5.9,284
2026-07-20,UAE,Al Ain,46.7,11,45.6,0,10.7,277
2026-07-21,UAE,Al Ain,47.0,12,45.2,2,18.6,237
2026-07-22,UAE,Al Ain,45.0,11,43.3,3,16.0,284
2026-07-23,UAE,Al Ain,43.9,9,41.9,1,13.1,307
