date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Norway,Tromso,8.6,73,5.1,0,13.7,54
2026-05-17,Norway,Tromso,9.6,56,4.9,2,21.2,22
2026-05-17,Norway,Tromso,9.9,56,5.1,2,20.2,21
2026-05-17,Norway,Tromso,9.8,57,5.1,1,19.4,20
2026-05-18,Norway,Tromso,5.7,83,2.9,3,7.9,13
2026-05-19,Norway,Tromso,13.4,58,10.7,0,10.4,12
2026-05-20,Norway,Tromso,10.3,87,9.5,3,2.5,86
2026-05-21,Norway,Tromso,9.1,73,5.9,0,12.6,43
2026-05-22,Norway,Tromso,9.4,77,6.2,3,14.0,294
2026-05-23,Norway,Tromso,10.2,95,8.4,3,11.2,219
2026-05-24,Norway,Tromso,9.5,88,7.7,3,7.9,15
2026-05-25,Norway,Tromso,8.1,83,4.6,51,16.6,223
2026-05-26,Norway,Tromso,9.2,74,7.2,3,5.0,262
2026-05-27,Norway,Tromso,9.2,72,6.6,2,9.0,337
2026-05-28,Norway,Tromso,7.5,86,3.9,3,16.6,212
2026-05-29,Norway,Tromso,5.6,80,2.8,51,7.2,239
2026-05-30,Norway,Tromso,9.3,57,5.5,2,13.3,292
2026-05-31,Norway,Tromso,12.2,48,8.0,2,15.8,40
2026-06-01,Norway,Tromso,9.6,67,6.3,0,12.6,18
2026-06-02,Norway,Tromso,13.9,64,12.3,0,6.1,206
2026-06-03,Norway,Tromso,15.6,64,14.3,3,6.8,331
2026-06-04,Norway,Tromso,20.1,58,19.0,2,10.8,16
2026-06-05,Norway,Tromso,20.8,55,19.7,1,10.4,174
2026-06-06,Norway,Tromso,18.2,57,15.6,1,19.8,210
2026-06-07,Norway,Tromso,18.2,73,17.4,3,12.6,9
2026-06-08,Norway,Tromso,16.3,66,15.0,0,8.3,195
2026-06-09,Norway,Tromso,19.9,50,18.0,0,11.9,33
2026-06-10,Norway,Tromso,20.7,55,19.6,0,10.1,14
2026-06-11,Norway,Tromso,13.0,69,9.7,1,18.0,193
2026-06-12,Norway,Tromso,15.1,52,11.4,3,17.6,27
2026-06-13,Norway,Tromso,9.9,78,7.4,3,10.4,255
2026-06-14,Norway,Tromso,12.2,64,8.0,2,25.6,37
2026-06-15,Norway,Tromso,12.5,58,9.4,3,11.5,210
2026-06-16,Norway,Tromso,14.4,62,11.9,2,14.8,32
2026-06-17,Norway,Tromso,9.5,69,5.9,3,15.1,7
2026-06-18,Norway,Tromso,12.1,50,9.1,1,13.0,16
2026-06-19,Norway,Tromso,11.1,61,9.0,3,4.7,2
2026-06-20,Norway,Tromso,12.4,91,12.1,51,4.0,334
2026-06-21,Norway,Tromso,12.7,78,10.3,3,14.0,187
2026-06-22,Norway,Tromso,11.6,89,9.3,63,15.1,200
2026-06-23,Norway,Tromso,10.8,76,8.4,3,10.1,211
2026-06-24,Norway,Tromso,11.7,74,9.7,3,8.3,56
2026-06-25,Norway,Tromso,15.9,54,15.4,1,4.0,160
2026-06-26,Norway,Tromso,11.6,85,9.1,3,15.5,192
2026-06-27,Norway,Tromso,10.5,77,6.4,3,22.3,253
2026-06-29,Norway,Tromso,13.8,72,13.2,51,2.2,323
2026-06-30,Norway,Tromso,12.4,83,9.0,3,22.7,208
2026-07-01,Norway,Tromso,12.3,73,7.2,3,30.6,223
2026-07-02,Norway,Tromso,14.1,62,12.8,1,7.6,309
2026-07-03,Norway,Tromso,15.9,61,14.0,0,14.8,27
2026-07-04,Norway,Tromso,11.5,90,10.3,51,7.6,174
2026-07-05,Norway,Tromso,15.9,75,14.4,1,15.1,21
2026-07-06,Norway,Tromso,21.9,55,19.5,3,21.6,34
2026-07-07,Norway,Tromso,13.2,86,12.2,3,8.6,14
2026-07-08,Norway,Tromso,16.8,61,15.8,2,9.7,322
2026-07-09,Norway,Tromso,12.4,84,10.9,3,9.7,212
2026-07-10,Norway,Tromso,15.3,86,14.3,3,13.7,219
2026-07-11,Norway,Tromso,12.8,82,11.4,3,8.6,242
2026-07-12,Norway,Tromso,14.2,64,11.0,3,18.4,212
2026-07-13,Norway,Tromso,15.4,69,11.8,3,24.1,213
2026-07-14,Norway,Tromso,11.7,81,8.5,3,18.7,229
2026-07-15,Norway,Tromso,12.2,95,10.2,3,16.6,204
2026-07-16,Norway,Tromso,15.1,83,10.9,3,33.1,216
2026-07-17,Norway,Tromso,10.5,92,6.8,51,23.8,208
2026-07-18,Norway,Tromso,9.1,74,4.8,3,20.9,220
2026-07-19,Norway,Tromso,9.6,70,6.4,3,12.2,278
2026-07-20,Norway,Tromso,11.4,59,9.2,2,4.7,345
2026-07-21,Norway,Tromso,13.9,81,10.9,51,22.0,182
2026-07-22,Norway,Tromso,10.6,94,8.7,51,12.6,323
2026-07-23,Norway,Tromso,10.3,73,7.6,3,11.5,193
