date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Philippines,Davao,25.8,97,32.3,51,2.7,8
2026-05-17,Philippines,Davao,25.4,97,31.3,81,5.4,346
2026-05-17,Philippines,Davao,25.4,96,31.0,3,6.7,3
2026-05-17,Philippines,Davao,26.5,91,32.6,3,3.9,336
2026-05-18,Philippines,Davao,24.1,96,29.3,81,4.0,18
2026-05-19,Philippines,Davao,25.3,93,30.9,2,4.7,43
2026-05-20,Philippines,Davao,24.9,97,30.9,3,3.1,24
2026-05-21,Philippines,Davao,24.8,93,29.6,2,7.7,16
2026-05-22,Philippines,Davao,25.6,93,30.7,51,9.6,28
2026-05-23,Philippines,Davao,25.8,98,32.6,53,2.5,274
2026-05-24,Philippines,Davao,25.5,96,31.2,3,7.2,27
2026-05-25,Philippines,Davao,24.9,96,30.0,3,7.9,13
2026-05-26,Philippines,Davao,25.3,94,31.2,1,2.3,360
2026-05-27,Philippines,Davao,24.8,91,29.9,3,3.6,357
2026-05-28,Philippines,Davao,25.3,94,31.3,1,3.0,308
2026-05-29,Philippines,Davao,23.9,91,28.8,3,1.7,252
2026-05-30,Philippines,Davao,27.4,79,32.8,3,2.3,238
2026-05-31,Philippines,Davao,26.6,90,33.1,3,0.5,270
2026-06-01,Philippines,Davao,25.7,89,31.2,2,2.5,356
2026-06-02,Philippines,Davao,25.0,92,30.2,3,4.7,356
2026-06-03,Philippines,Davao,24.8,93,30.4,3,2.6,25
2026-06-04,Philippines,Davao,25.7,95,32.2,0,1.0,121
2026-06-05,Philippines,Davao,25.2,95,31.2,2,2.3,309
