date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Switzerland,Interlaken,7.6,80,5.4,80,6.2,54
2026-05-17,Switzerland,Interlaken,14.4,42,12.4,3,7.7,281
2026-05-17,Switzerland,Interlaken,14.6,46,12.5,3,8.6,272
2026-05-17,Switzerland,Interlaken,15.8,41,13.5,3,7.9,267
2026-05-18,Switzerland,Interlaken,12.4,79,11.7,2,2.7,337
2026-05-19,Switzerland,Interlaken,14.6,67,13.8,2,3.3,221
2026-05-20,Switzerland,Interlaken,17.2,68,17.3,3,2.3,288
2026-05-21,Switzerland,Interlaken,21.7,60,22.4,3,3.0,284
2026-05-22,Switzerland,Interlaken,25.2,40,24.0,3,9.7,248
2026-05-23,Switzerland,Interlaken,26.4,47,28.4,0,9.4,277
2026-05-24,Switzerland,Interlaken,27.5,36,28.7,0,8.3,275
2026-05-25,Switzerland,Interlaken,29.3,32,28.3,1,8.1,45
