date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Switzerland,Interlaken,7.6,80,5.4,80,6.2,54
2026-05-17,Switzerland,Interlaken,14.4,42,12.4,3,7.7,281
2026-05-17,Switzerland,Interlaken,14.6,46,12.5,3,8.6,272
2026-05-17,Switzerland,Interlaken,15.8,41,13.5,3,7.9,267
2026-05-18,Switzerland,Interlaken,12.4,79,11.7,2,2.7,337
2026-05-19,Switzerland,Interlaken,14.6,67,13.8,2,3.3,221
2026-05-20,Switzerland,Interlaken,17.2,68,17.3,3,2.3,288
2026-05-21,Switzerland,Interlaken,21.7,60,22.4,3,3.0,284
2026-05-22,Switzerland,Interlaken,25.2,40,24.0,3,9.7,248
2026-05-23,Switzerland,Interlaken,26.4,47,28.4,0,9.4,277
2026-05-24,Switzerland,Interlaken,27.5,36,28.7,0,8.3,275
2026-05-25,Switzerland,Interlaken,29.3,32,28.3,1,8.1,45
2026-05-26,Switzerland,Interlaken,26.5,46,26.8,3,6.2,190
2026-05-27,Switzerland,Interlaken,27.4,38,27.4,2,3.3,6
2026-05-28,Switzerland,Interlaken,23.9,42,23.4,0,4.0,100
2026-05-29,Switzerland,Interlaken,24.0,31,22.2,0,5.0,150
2026-05-30,Switzerland,Interlaken,28.5,27,28.0,2,11.2,272
2026-05-31,Switzerland,Interlaken,27.2,39,26.1,3,11.9,267
2026-06-01,Switzerland,Interlaken,15.4,78,15.3,2,3.7,169
2026-06-02,Switzerland,Interlaken,12.4,88,12.1,80,3.0,194
2026-06-03,Switzerland,Interlaken,12.2,79,11.2,3,4.1,165
2026-06-04,Switzerland,Interlaken,12.7,89,12.2,61,5.0,111
2026-06-05,Switzerland,Interlaken,15.9,66,15.6,2,1.1,18
2026-06-06,Switzerland,Interlaken,21.1,58,23.1,1,4.7,302
2026-06-07,Switzerland,Interlaken,22.8,49,22.0,1,11.3,263
2026-06-08,Switzerland,Interlaken,18.6,88,20.7,95,1.6,27
2026-06-09,Switzerland,Interlaken,16.0,80,16.6,3,1.8,270
2026-06-10,Switzerland,Interlaken,12.1,85,11.8,3,1.8,101
