date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,South Africa,Johannesburg,13.4,67,11.1,1,10.8,62
2026-05-17,South Africa,Johannesburg,18.1,38,16.2,1,3.2,218
2026-05-17,South Africa,Johannesburg,18.2,36,15.9,3,4.4,210
2026-05-17,South Africa,Johannesburg,17.6,37,15.0,3,6.7,196
2026-05-18,South Africa,Johannesburg,14.8,48,12.3,3,7.0,148
2026-05-19,South Africa,Johannesburg,11.4,83,10.2,0,5.2,335
2026-05-20,South Africa,Johannesburg,12.6,59,11.1,2,1.9,146
2026-05-21,South Africa,Johannesburg,11.4,74,9.7,0,5.7,325
2026-05-22,South Africa,Johannesburg,12.4,64,10.7,0,3.9,344
2026-05-23,South Africa,Johannesburg,16.9,45,15.4,1,1.5,284
2026-05-24,South Africa,Johannesburg,18.4,38,15.8,1,7.0,271
2026-05-25,South Africa,Johannesburg,14.7,60,13.5,2,2.9,356
2026-05-26,South Africa,Johannesburg,13.4,60,11.2,1,7.2,202
2026-05-27,South Africa,Johannesburg,15.6,65,15.0,0,1.9,131
2026-05-28,South Africa,Johannesburg,13.3,61,11.6,0,4.9,163
2026-05-29,South Africa,Johannesburg,13.2,61,11.9,0,2.2,180
2026-05-30,South Africa,Johannesburg,18.5,45,16.8,1,4.7,353
2026-05-31,South Africa,Johannesburg,16.4,52,15.3,0,1.7,32
2026-06-01,South Africa,Johannesburg,9.9,69,7.9,0,5.0,221
2026-06-02,South Africa,Johannesburg,10.8,62,8.9,0,3.3,167
2026-06-03,South Africa,Johannesburg,10.6,67,8.3,2,7.2,346
2026-06-04,South Africa,Johannesburg,10.5,75,7.3,0,15.4,284
2026-06-05,South Africa,Johannesburg,7.8,61,4.6,0,7.9,219
2026-06-06,South Africa,Johannesburg,12.5,41,10.0,0,2.4,306
2026-06-07,South Africa,Johannesburg,14.0,46,11.6,0,4.9,360
2026-06-08,South Africa,Johannesburg,12.5,44,9.7,2,5.2,196
2026-06-09,South Africa,Johannesburg,12.9,52,9.9,0,9.3,345
2026-06-10,South Africa,Johannesburg,11.4,70,9.5,0,6.1,355
2026-06-11,South Africa,Johannesburg,10.1,83,8.6,0,4.9,324
2026-06-12,South Africa,Johannesburg,13.5,68,11.8,0,6.9,321
2026-06-13,South Africa,Johannesburg,17.3,33,14.0,0,8.5,339
2026-06-14,South Africa,Johannesburg,17.3,49,14.4,0,16.5,337
2026-06-15,South Africa,Johannesburg,17.0,35,14.1,0,6.3,358
2026-06-16,South Africa,Johannesburg,15.9,38,12.7,0,8.8,2
2026-06-17,South Africa,Johannesburg,15.7,41,13.2,3,4.9,82
2026-06-18,South Africa,Johannesburg,14.2,47,12.2,3,1.9,34
2026-06-19,South Africa,Johannesburg,16.0,33,11.8,3,14.1,71
2026-06-20,South Africa,Johannesburg,14.1,53,10.3,3,16.7,35
2026-06-21,South Africa,Johannesburg,11.6,75,8.7,3,15.5,342
2026-06-22,South Africa,Johannesburg,13.0,64,10.3,1,11.9,331
2026-06-23,South Africa,Johannesburg,15.2,64,13.2,51,10.2,319
2026-06-24,South Africa,Johannesburg,18.6,40,16.9,0,5.6,243
2026-06-25,South Africa,Johannesburg,17.5,43,15.6,0,6.5,360
