date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Czech Republic,Prague,12.0,57,9.3,3,8.7,5
2026-05-17,Czech Republic,Prague,16.0,30,13.4,2,8.4,20
2026-05-17,Czech Republic,Prague,16.6,27,15.4,1,1.1,270
2026-05-17,Czech Republic,Prague,16.4,30,12.4,2,11.5,14
2026-05-18,Czech Republic,Prague,18.3,31,15.5,1,6.2,353
2026-05-19,Czech Republic,Prague,19.8,34,16.9,3,9.9,260
2026-05-20,Czech Republic,Prague,19.5,50,18.1,3,7.9,273
2026-05-21,Czech Republic,Prague,20.1,41,18.3,3,6.6,347
2026-05-22,Czech Republic,Prague,23.6,37,22.3,3,6.1,40
2026-05-23,Czech Republic,Prague,25.6,37,27.0,1,3.3,41
2026-05-24,Czech Republic,Prague,29.0,33,30.3,3,4.9,324
2026-05-25,Czech Republic,Prague,27.1,30,25.4,0,8.4,350
2026-05-26,Czech Republic,Prague,28.6,24,27.0,1,4.4,9
2026-05-27,Czech Republic,Prague,22.4,27,18.4,0,16.0,351
2026-05-28,Czech Republic,Prague,20.1,31,17.1,0,8.9,346
2026-05-29,Czech Republic,Prague,24.7,22,22.3,0,3.5,294
2026-05-30,Czech Republic,Prague,26.8,39,25.5,1,17.9,330
2026-05-31,Czech Republic,Prague,20.3,69,21.2,3,4.5,241
2026-06-01,Czech Republic,Prague,16.7,68,16.6,1,2.7,247
2026-06-02,Czech Republic,Prague,21.4,44,20.0,3,6.9,141
2026-06-03,Czech Republic,Prague,17.7,52,16.1,1,6.9,276
2026-06-04,Czech Republic,Prague,24.0,39,22.5,3,9.0,182
2026-06-05,Czech Republic,Prague,18.3,65,17.4,2,9.7,219
2026-06-06,Czech Republic,Prague,23.3,36,23.4,3,2.2,360
2026-06-07,Czech Republic,Prague,23.4,28,20.1,2,13.1,307
2026-06-08,Czech Republic,Prague,26.0,26,23.8,3,6.6,167
2026-06-09,Czech Republic,Prague,17.3,74,16.8,3,9.6,214
