date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,France,Toulouse,14.1,63,11.8,3,10.9,276
2026-05-17,France,Toulouse,17.1,51,15.1,3,8.7,300
2026-05-17,France,Toulouse,17.3,51,15.3,61,8.9,310
2026-05-17,France,Toulouse,18.9,48,17.5,2,7.3,303
2026-05-18,France,Toulouse,17.6,52,16.3,3,4.8,257
2026-05-19,France,Toulouse,23.7,40,22.9,3,4.7,351
2026-05-20,France,Toulouse,24.4,43,23.8,0,5.9,349
2026-05-21,France,Toulouse,28.6,35,28.0,0,7.0,78
2026-05-22,France,Toulouse,30.9,28,29.7,2,8.9,43
2026-05-23,France,Toulouse,30.2,26,31.2,0,7.1,131
2026-05-24,France,Toulouse,32.1,28,33.2,0,11.0,113
2026-05-25,France,Toulouse,31.8,23,28.8,0,17.2,116
2026-05-26,France,Toulouse,31.3,21,28.3,0,14.1,122
2026-05-27,France,Toulouse,32.6,24,31.1,0,8.6,358
2026-05-28,France,Toulouse,32.5,26,31.4,0,8.3,355
2026-05-29,France,Toulouse,32.3,17,30.4,0,3.9,34
2026-05-30,France,Toulouse,26.5,56,29.3,3,7.3,340
2026-05-31,France,Toulouse,21.6,66,21.4,3,12.2,315
2026-06-01,France,Toulouse,22.4,65,23.6,3,4.4,261
2026-06-02,France,Toulouse,18.1,65,16.4,2,15.0,280
2026-06-03,France,Toulouse,21.0,59,21.2,3,4.0,270
2026-06-04,France,Toulouse,16.3,82,15.9,61,9.8,262
2026-06-05,France,Toulouse,20.2,47,18.8,3,7.0,339
2026-06-06,France,Toulouse,25.2,43,24.0,3,15.7,290
2026-06-07,France,Toulouse,27.5,42,28.4,0,7.9,74
2026-06-08,France,Toulouse,22.7,63,22.1,3,16.2,291
2026-06-09,France,Toulouse,17.3,72,16.0,3,13.2,259
2026-06-10,France,Toulouse,19.7,50,18.0,1,9.8,306
2026-06-11,France,Toulouse,20.8,46,19.3,0,7.9,330
2026-06-12,France,Toulouse,26.8,38,26.0,0,8.7,330
2026-06-13,France,Toulouse,32.5,31,33.2,1,7.9,16
2026-06-14,France,Toulouse,31.0,27,31.7,2,9.8,73
