date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,France,Toulouse,14.1,63,11.8,3,10.9,276
2026-05-17,France,Toulouse,17.1,51,15.1,3,8.7,300
2026-05-17,France,Toulouse,17.3,51,15.3,61,8.9,310
2026-05-17,France,Toulouse,18.9,48,17.5,2,7.3,303
2026-05-18,France,Toulouse,17.6,52,16.3,3,4.8,257
2026-05-19,France,Toulouse,23.7,40,22.9,3,4.7,351
2026-05-20,France,Toulouse,24.4,43,23.8,0,5.9,349
2026-05-21,France,Toulouse,28.6,35,28.0,0,7.0,78
2026-05-22,France,Toulouse,30.9,28,29.7,2,8.9,43
2026-05-23,France,Toulouse,30.2,26,31.2,0,7.1,131
2026-05-24,France,Toulouse,32.1,28,33.2,0,11.0,113
2026-05-25,France,Toulouse,31.8,23,28.8,0,17.2,116
2026-05-26,France,Toulouse,31.3,21,28.3,0,14.1,122
2026-05-27,France,Toulouse,32.6,24,31.1,0,8.6,358
2026-05-28,France,Toulouse,32.5,26,31.4,0,8.3,355
2026-05-29,France,Toulouse,32.3,17,30.4,0,3.9,34
2026-05-30,France,Toulouse,26.5,56,29.3,3,7.3,340
2026-05-31,France,Toulouse,21.6,66,21.4,3,12.2,315
2026-06-01,France,Toulouse,22.4,65,23.6,3,4.4,261
2026-06-02,France,Toulouse,18.1,65,16.4,2,15.0,280
2026-06-03,France,Toulouse,21.0,59,21.2,3,4.0,270
2026-06-04,France,Toulouse,16.3,82,15.9,61,9.8,262
2026-06-05,France,Toulouse,20.2,47,18.8,3,7.0,339
2026-06-06,France,Toulouse,25.2,43,24.0,3,15.7,290
2026-06-07,France,Toulouse,27.5,42,28.4,0,7.9,74
2026-06-08,France,Toulouse,22.7,63,22.1,3,16.2,291
2026-06-09,France,Toulouse,17.3,72,16.0,3,13.2,259
2026-06-10,France,Toulouse,19.7,50,18.0,1,9.8,306
2026-06-11,France,Toulouse,20.8,46,19.3,0,7.9,330
2026-06-12,France,Toulouse,26.8,38,26.0,0,8.7,330
2026-06-13,France,Toulouse,32.5,31,33.2,1,7.9,16
2026-06-14,France,Toulouse,31.0,27,31.7,2,9.8,73
2026-06-15,France,Toulouse,32.5,21,31.7,1,9.4,337
2026-06-16,France,Toulouse,27.3,53,30.4,3,8.1,339
2026-06-17,France,Toulouse,34.1,26,36.4,0,4.9,107
2026-06-18,France,Toulouse,34.9,18,33.9,0,16.3,115
2026-06-19,France,Toulouse,32.7,30,33.7,0,13.5,132
2026-06-20,France,Toulouse,32.1,34,34.0,0,10.5,117
2026-06-21,France,Toulouse,34.7,29,36.5,3,10.3,115
2026-06-22,France,Toulouse,40.3,16,40.6,0,8.4,115
2026-06-23,France,Toulouse,38.1,21,40.8,0,3.5,66
2026-06-24,France,Toulouse,37.8,22,39.9,0,6.6,29
2026-06-25,France,Toulouse,34.7,33,36.0,0,18.1,134
2026-06-26,France,Toulouse,30.6,50,35.9,0,3.1,126
2026-06-27,France,Toulouse,32.9,42,36.4,0,10.4,146
2026-06-29,France,Toulouse,26.3,56,27.2,3,11.1,306
2026-06-30,France,Toulouse,28.7,48,30.8,2,11.3,301
2026-07-01,France,Toulouse,25.3,42,24.9,3,18.0,303
2026-07-02,France,Toulouse,25.5,44,25.6,0,16.1,299
2026-07-03,France,Toulouse,25.3,57,25.8,2,12.3,302
2026-07-04,France,Toulouse,28.5,33,29.3,0,9.9,327
2026-07-05,France,Toulouse,30.9,21,31.1,0,7.2,323
2026-07-06,France,Toulouse,35.7,16,36.6,0,5.0,21
2026-07-07,France,Toulouse,36.5,16,38.4,0,0.5,315
2026-07-08,France,Toulouse,28.7,56,33.1,0,7.3,351
2026-07-09,France,Toulouse,33.9,28,35.9,0,8.9,328
2026-07-10,France,Toulouse,34.3,29,35.0,3,8.8,168
2026-07-11,France,Toulouse,29.7,42,32.0,3,6.5,56
2026-07-12,France,Toulouse,33.7,23,32.6,3,17.3,121
2026-07-13,France,Toulouse,29.7,50,32.4,3,8.4,155
2026-07-14,France,Toulouse,31.5,50,36.2,0,6.2,83
2026-07-15,France,Toulouse,30.2,56,34.7,0,8.6,248
2026-07-16,France,Toulouse,27.7,61,31.5,2,3.6,217
2026-07-17,France,Toulouse,26.2,63,27.9,3,10.2,312
2026-07-18,France,Toulouse,26.9,57,29.7,1,8.4,340
2026-07-19,France,Toulouse,30.3,36,32.2,3,5.8,353
2026-07-20,France,Toulouse,33.8,26,35.0,3,8.5,36
2026-07-21,France,Toulouse,29.8,32,30.5,0,10.5,308
