date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Brazil,Salvador,26.6,67,28.5,1,12.7,172
2026-05-17,Brazil,Salvador,26.8,68,29.3,51,10.5,196
2026-05-17,Brazil,Salvador,27.2,69,30.3,51,11.0,195
2026-05-17,Brazil,Salvador,27.0,69,30.6,51,13.0,198
2026-05-18,Brazil,Salvador,26.8,75,30.1,0,10.6,140
2026-05-19,Brazil,Salvador,28.5,60,30.5,0,12.1,130
2026-05-20,Brazil,Salvador,26.9,71,29.1,1,15.0,127
2026-05-21,Brazil,Salvador,27.3,66,29.0,0,16.2,150
2026-05-22,Brazil,Salvador,27.6,63,28.7,2,20.6,134
2026-05-23,Brazil,Salvador,27.5,64,28.1,3,23.6,119
2026-05-24,Brazil,Salvador,25.9,78,28.2,51,16.9,125
2026-05-25,Brazil,Salvador,27.3,58,29.2,0,13.0,129
2026-05-26,Brazil,Salvador,25.9,75,27.6,53,18.6,150
2026-05-27,Brazil,Salvador,26.3,68,28.4,1,12.1,130
2026-05-28,Brazil,Salvador,26.2,71,28.4,2,13.0,142
2026-05-29,Brazil,Salvador,26.2,74,29.1,1,10.9,128
2026-05-30,Brazil,Salvador,24.1,87,27.3,51,11.6,154
2026-05-31,Brazil,Salvador,25.3,77,27.9,51,12.4,196
2026-06-01,Brazil,Salvador,25.1,80,28.0,3,11.4,156
2026-06-02,Brazil,Salvador,24.4,85,27.3,51,12.7,129
2026-06-03,Brazil,Salvador,24.3,84,26.6,2,16.5,144
2026-06-04,Brazil,Salvador,25.4,71,25.6,51,24.1,161
2026-06-05,Brazil,Salvador,25.8,62,24.5,1,28.0,162
2026-06-06,Brazil,Salvador,24.7,67,24.8,53,21.1,178
2026-06-07,Brazil,Salvador,25.3,68,27.9,51,11.6,145
2026-06-08,Brazil,Salvador,25.8,64,26.6,2,15.9,135
2026-06-09,Brazil,Salvador,26.0,62,26.9,2,13.5,139
2026-06-10,Brazil,Salvador,25.3,66,27.5,0,7.1,164
2026-06-11,Brazil,Salvador,25.4,68,27.1,0,11.7,127
2026-06-12,Brazil,Salvador,25.7,65,27.4,0,10.4,134
2026-06-13,Brazil,Salvador,27.3,59,30.7,1,7.5,117
2026-06-14,Brazil,Salvador,24.4,85,28.4,0,5.6,295
2026-06-15,Brazil,Salvador,26.3,75,30.2,51,10.6,145
2026-06-16,Brazil,Salvador,26.8,76,30.9,53,8.1,84
2026-06-17,Brazil,Salvador,26.7,75,31.3,51,4.1,319
2026-06-18,Brazil,Salvador,23.4,87,25.6,55,15.2,153
2026-06-19,Brazil,Salvador,24.8,70,24.9,51,23.3,151
2026-06-20,Brazil,Salvador,24.6,60,23.9,1,19.8,172
2026-06-21,Brazil,Salvador,23.6,79,26.6,0,5.6,253
2026-06-22,Brazil,Salvador,25.1,68,28.2,0,9.8,216
2026-06-23,Brazil,Salvador,24.6,77,27.3,2,9.0,177
2026-06-24,Brazil,Salvador,24.1,84,28.2,0,2.7,238
2026-06-25,Brazil,Salvador,25.7,67,26.4,51,18.1,128
2026-06-26,Brazil,Salvador,25.5,78,26.5,3,25.1,111
2026-06-27,Brazil,Salvador,25.5,69,25.8,51,22.5,122
2026-06-29,Brazil,Salvador,25.9,66,26.8,1,18.0,132
2026-06-30,Brazil,Salvador,23.6,83,25.8,2,13.5,113
2026-07-01,Brazil,Salvador,24.6,78,26.9,2,12.6,85
2026-07-02,Brazil,Salvador,25.4,70,27.0,0,13.8,110
2026-07-03,Brazil,Salvador,25.3,72,26.2,1,20.5,101
2026-07-04,Brazil,Salvador,24.8,66,26.6,1,8.2,199
2026-07-05,Brazil,Salvador,23.0,92,26.5,51,9.2,87
2026-07-06,Brazil,Salvador,24.4,72,25.8,51,13.6,173
2026-07-07,Brazil,Salvador,23.4,79,26.0,51,7.3,210
2026-07-08,Brazil,Salvador,23.3,89,27.1,0,5.2,340
2026-07-09,Brazil,Salvador,24.2,83,27.8,1,6.0,286
2026-07-10,Brazil,Salvador,24.5,74,27.0,51,8.4,132
2026-07-11,Brazil,Salvador,23.3,89,27.3,3,4.2,342
2026-07-12,Brazil,Salvador,23.4,83,26.6,1,5.5,316
2026-07-13,Brazil,Salvador,24.5,77,27.2,2,9.2,339
2026-07-14,Brazil,Salvador,24.3,90,29.1,3,2.9,313
2026-07-15,Brazil,Salvador,22.2,88,22.9,81,22.0,162
2026-07-16,Brazil,Salvador,24.1,50,21.5,2,24.5,137
2026-07-17,Brazil,Salvador,23.5,70,22.7,51,24.9,129
2026-07-18,Brazil,Salvador,23.1,77,23.0,51,22.8,126
2026-07-19,Brazil,Salvador,24.1,67,23.9,3,20.9,136
2026-07-20,Brazil,Salvador,24.9,70,26.2,0,13.9,114
2026-07-21,Brazil,Salvador,23.4,78,24.7,2,15.5,113
2026-07-22,Brazil,Salvador,22.5,91,25.2,3,11.6,57
