date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Canada,Toronto,16.6,73,14.1,3,20.5,204
2026-05-17,Canada,Toronto,14.8,89,14.6,2,8.4,250
2026-05-17,Canada,Toronto,17.3,86,18.3,1,4.2,250
2026-05-17,Canada,Toronto,18.1,92,20.7,0,5.0,180
2026-05-18,Canada,Toronto,22.8,59,25.0,0,9.6,110
2026-05-19,Canada,Toronto,24.5,65,26.4,2,18.1,175
2026-05-20,Canada,Toronto,19.8,31,17.6,1,17.6,296
2026-05-21,Canada,Toronto,12.6,50,11.2,0,14.0,116
2026-05-22,Canada,Toronto,13.7,38,9.8,3,25.1,65
2026-05-23,Canada,Toronto,11.9,70,8.6,3,17.2,79
2026-05-24,Canada,Toronto,9.5,93,7.3,3,11.9,85
2026-05-25,Canada,Toronto,17.3,90,20.1,1,7.2,183
2026-05-26,Canada,Toronto,23.3,60,24.7,0,16.3,194
2026-05-27,Canada,Toronto,21.1,55,22.0,0,11.9,183
2026-05-28,Canada,Toronto,20.3,42,18.7,1,19.0,345
2026-05-29,Canada,Toronto,25.2,28,21.9,0,25.9,271
2026-05-30,Canada,Toronto,13.1,62,9.7,0,16.8,9
2026-05-31,Canada,Toronto,21.8,33,19.4,0,16.8,293
2026-06-01,Canada,Toronto,17.9,45,15.6,0,9.1,108
2026-06-02,Canada,Toronto,24.3,28,23.3,3,6.1,183
2026-06-03,Canada,Toronto,25.6,31,23.4,0,16.3,188
2026-06-04,Canada,Toronto,25.9,34,24.3,3,22.7,179
2026-06-05,Canada,Toronto,25.9,51,27.8,2,13.5,164
2026-06-06,Canada,Toronto,17.5,100,19.3,3,6.4,207
2026-06-07,Canada,Toronto,19.9,72,19.4,3,13.9,343
2026-06-08,Canada,Toronto,21.4,59,22.2,0,16.6,72
2026-06-09,Canada,Toronto,21.2,88,24.3,3,6.9,141
2026-06-10,Canada,Toronto,25.5,88,30.5,0,17.3,211
2026-06-11,Canada,Toronto,31.2,46,32.9,3,17.9,199
2026-06-12,Canada,Toronto,26.2,46,26.1,3,21.6,274
2026-06-13,Canada,Toronto,22.4,74,24.8,0,12.8,191
2026-06-14,Canada,Toronto,17.6,84,17.8,3,9.3,344
2026-06-15,Canada,Toronto,15.0,65,13.4,1,16.2,282
2026-06-16,Canada,Toronto,15.7,87,15.5,2,9.3,208
2026-06-17,Canada,Toronto,15.7,94,16.2,0,7.6,115
2026-06-18,Canada,Toronto,16.5,97,16.7,1,12.8,248
2026-06-19,Canada,Toronto,17.2,75,16.3,0,12.5,252
2026-06-20,Canada,Toronto,13.2,75,11.3,0,11.3,277
2026-06-21,Canada,Toronto,14.4,83,14.4,0,2.9,240
2026-06-22,Canada,Toronto,14.5,91,14.2,61,9.0,95
2026-06-23,Canada,Toronto,15.3,81,14.4,0,10.8,323
2026-06-24,Canada,Toronto,15.3,84,15.9,0,1.8,191
2026-06-25,Canada,Toronto,14.4,94,14.7,3,5.4,70
2026-06-26,Canada,Toronto,17.0,97,18.3,2,6.6,299
2026-06-27,Canada,Toronto,14.5,91,14.8,0,4.9,17
2026-06-29,Canada,Toronto,21.6,70,22.5,0,7.9,87
2026-06-30,Canada,Toronto,19.2,93,20.2,3,12.7,29
2026-07-01,Canada,Toronto,24.2,90,29.0,0,2.6,56
