date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Ireland,Galway,10.6,71,7.2,0,15.8,276
2026-05-17,Ireland,Galway,10.9,77,7.0,3,21.2,242
2026-05-17,Ireland,Galway,10.4,85,7.0,51,19.8,248
2026-05-17,Ireland,Galway,10.2,84,6.9,53,18.0,241
2026-05-18,Ireland,Galway,10.6,93,7.7,51,18.7,129
2026-05-19,Ireland,Galway,12.2,90,9.4,3,20.9,239
2026-05-20,Ireland,Galway,14.7,77,13.5,3,9.7,204
2026-05-21,Ireland,Galway,17.1,69,14.2,3,22.7,163
2026-05-22,Ireland,Galway,14.5,87,12.5,51,18.7,223
2026-05-23,Ireland,Galway,16.1,58,12.4,1,24.5,230
2026-05-24,Ireland,Galway,18.2,57,17.0,0,17.3,238
2026-05-25,Ireland,Galway,24.5,59,24.7,0,12.6,342
2026-05-26,Ireland,Galway,27.6,58,29.4,0,9.4,342
2026-05-27,Ireland,Galway,26.5,56,26.5,1,16.6,76
2026-05-28,Ireland,Galway,15.5,83,12.3,3,28.1,228
2026-05-29,Ireland,Galway,16.5,70,14.3,0,17.3,232
2026-05-30,Ireland,Galway,15.7,84,14.2,51,19.4,221
2026-05-31,Ireland,Galway,15.9,76,13.8,3,18.0,233
2026-06-01,Ireland,Galway,14.0,89,12.7,3,13.7,234
2026-06-02,Ireland,Galway,13.8,78,11.6,3,15.1,248
2026-06-03,Ireland,Galway,12.7,93,9.5,55,24.8,245
2026-06-04,Ireland,Galway,12.3,74,8.0,3,25.2,288
2026-06-05,Ireland,Galway,13.4,66,9.8,3,20.2,155
2026-06-06,Ireland,Galway,14.0,70,10.9,3,19.1,289
2026-06-07,Ireland,Galway,15.3,73,12.4,3,22.0,226
2026-06-08,Ireland,Galway,11.7,77,8.4,51,19.1,244
2026-06-09,Ireland,Galway,14.1,52,10.0,2,18.4,274
2026-06-10,Ireland,Galway,13.3,71,10.5,3,15.8,249
2026-06-11,Ireland,Galway,14.5,95,12.9,3,19.1,250
2026-06-12,Ireland,Galway,13.3,74,9.7,3,22.3,267
2026-06-13,Ireland,Galway,17.7,52,15.3,3,12.2,282
2026-06-14,Ireland,Galway,18.4,52,17.5,0,12.6,106
2026-06-15,Ireland,Galway,16.5,78,15.4,3,13.3,233
2026-06-16,Ireland,Galway,17.1,59,14.4,3,16.9,230
2026-06-17,Ireland,Galway,17.3,64,14.7,2,24.8,230
2026-06-18,Ireland,Galway,15.5,95,15.1,53,13.7,225
2026-06-19,Ireland,Galway,17.5,67,15.7,1,19.4,232
2026-06-20,Ireland,Galway,16.4,53,14.6,1,14.0,230
2026-06-21,Ireland,Galway,20.1,55,20.3,2,7.2,158
2026-06-22,Ireland,Galway,23.0,52,23.4,3,8.3,133
2026-06-23,Ireland,Galway,22.0,66,23.0,1,11.2,264
2026-06-24,Ireland,Galway,17.5,92,19.2,53,2.5,219
2026-06-25,Ireland,Galway,27.3,62,30.1,1,11.9,82
2026-06-26,Ireland,Galway,21.6,83,23.0,3,12.6,33
2026-06-27,Ireland,Galway,18.4,87,17.4,61,21.2,184
2026-06-29,Ireland,Galway,17.6,65,15.8,3,14.8,220
2026-06-30,Ireland,Galway,16.9,74,15.9,3,11.5,260
2026-07-01,Ireland,Galway,15.3,80,12.6,3,22.7,210
2026-07-02,Ireland,Galway,16.2,66,14.0,3,14.4,285
2026-07-03,Ireland,Galway,15.5,81,13.7,3,16.9,223
2026-07-04,Ireland,Galway,16.9,81,14.9,3,21.6,249
2026-07-05,Ireland,Galway,15.8,83,14.4,3,15.5,248
2026-07-06,Ireland,Galway,16.6,78,15.0,3,16.6,241
2026-07-07,Ireland,Galway,18.2,72,17.3,3,15.8,243
2026-07-08,Ireland,Galway,17.2,76,16.2,3,13.0,239
2026-07-09,Ireland,Galway,19.8,65,19.7,3,12.2,235
2026-07-10,Ireland,Galway,22.7,68,24.4,3,4.0,55
2026-07-11,Ireland,Galway,19.9,64,19.1,2,15.5,12
2026-07-12,Ireland,Galway,22.6,66,23.3,3,13.7,74
2026-07-13,Ireland,Galway,24.2,53,24.5,0,16.6,73
2026-07-14,Ireland,Galway,21.9,58,22.1,0,13.3,80
2026-07-15,Ireland,Galway,23.6,61,24.9,0,10.8,94
