date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Norway,Trondheim,10.5,87,8.7,51,9.0,151
2026-05-17,Norway,Trondheim,13.0,81,10.7,51,15.5,216
2026-05-17,Norway,Trondheim,12.7,83,11.4,63,9.0,192
2026-05-17,Norway,Trondheim,15.8,79,14.8,3,11.2,196
2026-05-18,Norway,Trondheim,17.6,43,14.0,0,16.2,160
2026-05-19,Norway,Trondheim,22.1,37,19.9,1,9.4,150
2026-05-20,Norway,Trondheim,20.2,48,19.1,2,5.8,284
2026-05-21,Norway,Trondheim,15.5,82,15.1,53,8.3,286
2026-05-22,Norway,Trondheim,16.8,64,15.6,3,7.9,339
2026-05-23,Norway,Trondheim,14.5,93,15.2,55,2.5,13
2026-05-24,Norway,Trondheim,12.8,92,11.4,61,13.3,296
2026-05-25,Norway,Trondheim,12.1,82,10.6,3,9.0,220
2026-05-26,Norway,Trondheim,8.9,81,4.4,3,23.8,282
2026-05-27,Norway,Trondheim,8.2,83,4.8,3,15.5,294
2026-05-28,Norway,Trondheim,10.4,79,8.9,3,4.7,217
2026-05-29,Norway,Trondheim,15.4,71,15.0,3,3.6,35
2026-05-30,Norway,Trondheim,15.4,81,14.5,3,11.2,293
2026-05-31,Norway,Trondheim,19.6,61,19.1,1,7.6,24
2026-06-01,Norway,Trondheim,13.5,90,13.6,3,2.9,315
2026-06-02,Norway,Trondheim,18.3,73,19.0,0,2.2,309
2026-06-03,Norway,Trondheim,21.6,61,19.8,3,20.5,160
2026-06-04,Norway,Trondheim,21.5,53,19.7,3,15.5,155
2026-06-05,Norway,Trondheim,18.5,76,17.1,63,18.4,221
2026-06-06,Norway,Trondheim,16.8,68,16.2,3,5.8,338
2026-06-07,Norway,Trondheim,17.6,61,16.0,3,10.4,311
2026-06-08,Norway,Trondheim,20.0,68,18.5,3,19.4,297
2026-06-09,Norway,Trondheim,24.6,49,24.3,3,8.6,117
2026-06-10,Norway,Trondheim,14.4,85,14.2,3,5.4,190
2026-06-11,Norway,Trondheim,12.7,82,11.3,2,8.6,50
2026-06-12,Norway,Trondheim,18.9,72,18.6,1,10.8,55
2026-06-13,Norway,Trondheim,19.4,58,19.0,3,4.7,2
2026-06-14,Norway,Trondheim,14.5,61,10.5,3,22.7,303
2026-06-15,Norway,Trondheim,13.2,72,11.6,3,7.9,287
