date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Portugal,Algarve,20.8,46,17.5,1,20.7,301
2026-05-17,Portugal,Algarve,21.6,46,21.0,2,14.7,292
2026-05-17,Portugal,Algarve,20.2,61,19.9,2,18.2,256
2026-05-17,Portugal,Algarve,22.2,50,21.5,1,16.6,265
2026-05-18,Portugal,Algarve,21.1,49,18.1,2,20.5,288
2026-05-19,Portugal,Algarve,20.1,71,20.2,1,10.5,243
2026-05-20,Portugal,Algarve,23.6,49,23.5,0,5.9,232
2026-05-21,Portugal,Algarve,24.4,45,23.2,3,11.4,108
2026-05-22,Portugal,Algarve,26.3,41,24.5,3,16.9,106
2026-05-23,Portugal,Algarve,27.6,27,25.0,0,26.1,96
2026-05-24,Portugal,Algarve,25.3,40,23.8,3,24.0,107
2026-05-25,Portugal,Algarve,25.5,48,24.4,2,16.2,107
2026-05-26,Portugal,Algarve,24.9,52,24.0,1,15.9,103
2026-05-27,Portugal,Algarve,25.7,45,25.0,0,10.6,108
2026-05-28,Portugal,Algarve,21.1,78,22.6,0,6.7,254
2026-05-29,Portugal,Algarve,23.8,60,24.5,0,8.6,270
2026-05-30,Portugal,Algarve,25.7,55,28.1,1,13.5,222
2026-05-31,Portugal,Algarve,27.8,52,30.2,0,12.5,221
2026-06-01,Portugal,Algarve,24.5,53,24.5,0,9.4,310
2026-06-02,Portugal,Algarve,22.5,55,21.0,0,17.1,309
2026-06-03,Portugal,Algarve,23.7,60,22.9,0,18.6,319
2026-06-04,Portugal,Algarve,26.7,42,24.8,1,18.4,320
2026-06-05,Portugal,Algarve,26.7,35,23.5,1,21.6,307
2026-06-06,Portugal,Algarve,24.2,54,26.7,0,9.9,224
2026-06-07,Portugal,Algarve,25.6,54,26.8,0,14.9,255
2026-06-08,Portugal,Algarve,28.8,43,27.3,0,21.2,305
2026-06-09,Portugal,Algarve,28.7,46,30.1,0,4.3,246
2026-06-10,Portugal,Algarve,23.8,60,24.7,0,6.7,234
2026-06-11,Portugal,Algarve,25.3,59,27.3,0,2.3,108
2026-06-12,Portugal,Algarve,25.4,51,24.8,0,14.2,106
2026-06-13,Portugal,Algarve,24.2,64,25.1,1,18.6,136
2026-06-14,Portugal,Algarve,23.3,63,25.4,3,11.0,191
2026-06-15,Portugal,Algarve,24.3,60,25.5,3,16.0,239
2026-06-16,Portugal,Algarve,25.8,59,29.0,0,12.4,216
2026-06-17,Portugal,Algarve,28.8,40,30.8,0,11.3,233
2026-06-18,Portugal,Algarve,28.7,39,30.6,1,10.7,166
2026-06-19,Portugal,Algarve,27.9,54,31.6,0,10.9,188
2026-06-20,Portugal,Algarve,26.8,53,29.6,0,10.0,193
2026-06-21,Portugal,Algarve,26.0,71,29.2,1,18.5,117
2026-06-22,Portugal,Algarve,24.3,70,26.8,3,9.2,206
2026-06-23,Portugal,Algarve,25.8,69,29.0,3,13.5,138
2026-06-24,Portugal,Algarve,23.9,67,25.7,2,14.4,248
2026-06-25,Portugal,Algarve,23.0,72,24.3,2,17.7,218
2026-06-26,Portugal,Algarve,23.6,71,26.4,2,10.3,192
2026-06-27,Portugal,Algarve,24.8,57,27.2,1,6.6,209
2026-06-29,Portugal,Algarve,27.4,47,30.1,0,10.9,224
2026-06-30,Portugal,Algarve,30.3,43,33.7,0,8.1,159
2026-07-01,Portugal,Algarve,30.2,44,33.6,0,8.4,223
2026-07-02,Portugal,Algarve,32.1,40,34.8,0,12.0,131
2026-07-03,Portugal,Algarve,30.9,42,31.4,2,22.8,96
2026-07-04,Portugal,Algarve,32.9,25,32.0,2,18.4,87
2026-07-05,Portugal,Algarve,31.3,32,31.2,3,14.3,100
2026-07-06,Portugal,Algarve,32.6,28,34.1,0,10.2,132
2026-07-07,Portugal,Algarve,30.8,41,33.7,0,10.3,209
2026-07-08,Portugal,Algarve,30.2,40,32.7,0,8.0,198
2026-07-09,Portugal,Algarve,26.6,58,29.1,0,16.2,257
2026-07-10,Portugal,Algarve,24.4,67,27.7,2,8.6,158
2026-07-11,Portugal,Algarve,22.5,64,23.5,2,11.5,250
2026-07-12,Portugal,Algarve,22.9,69,24.8,2,11.9,235
2026-07-13,Portugal,Algarve,24.3,64,27.4,0,12.3,232
2026-07-14,Portugal,Algarve,23.8,64,26.1,1,10.0,240
2026-07-15,Portugal,Algarve,24.9,55,27.2,0,8.1,212
2026-07-16,Portugal,Algarve,28.5,48,31.3,0,9.0,272
2026-07-17,Portugal,Algarve,26.0,52,29.3,0,3.6,217
