date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Portugal,Algarve,20.8,46,17.5,1,20.7,301
2026-05-17,Portugal,Algarve,21.6,46,21.0,2,14.7,292
2026-05-17,Portugal,Algarve,20.2,61,19.9,2,18.2,256
2026-05-17,Portugal,Algarve,22.2,50,21.5,1,16.6,265
2026-05-18,Portugal,Algarve,21.1,49,18.1,2,20.5,288
2026-05-19,Portugal,Algarve,20.1,71,20.2,1,10.5,243
2026-05-20,Portugal,Algarve,23.6,49,23.5,0,5.9,232
2026-05-21,Portugal,Algarve,24.4,45,23.2,3,11.4,108
2026-05-22,Portugal,Algarve,26.3,41,24.5,3,16.9,106
2026-05-23,Portugal,Algarve,27.6,27,25.0,0,26.1,96
2026-05-24,Portugal,Algarve,25.3,40,23.8,3,24.0,107
2026-05-25,Portugal,Algarve,25.5,48,24.4,2,16.2,107
2026-05-26,Portugal,Algarve,24.9,52,24.0,1,15.9,103
2026-05-27,Portugal,Algarve,25.7,45,25.0,0,10.6,108
2026-05-28,Portugal,Algarve,21.1,78,22.6,0,6.7,254
2026-05-29,Portugal,Algarve,23.8,60,24.5,0,8.6,270
2026-05-30,Portugal,Algarve,25.7,55,28.1,1,13.5,222
2026-05-31,Portugal,Algarve,27.8,52,30.2,0,12.5,221
2026-06-01,Portugal,Algarve,24.5,53,24.5,0,9.4,310
2026-06-02,Portugal,Algarve,22.5,55,21.0,0,17.1,309
2026-06-03,Portugal,Algarve,23.7,60,22.9,0,18.6,319
2026-06-04,Portugal,Algarve,26.7,42,24.8,1,18.4,320
