date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Turkey,Izmir,18.4,80,19.2,61,5.7,145
2026-05-17,Turkey,Izmir,24.3,35,22.4,0,18.8,290
2026-05-17,Turkey,Izmir,24.2,34,21.9,0,19.1,292
2026-05-17,Turkey,Izmir,23.2,29,18.9,2,20.1,294
2026-05-18,Turkey,Izmir,21.2,55,20.9,0,6.2,280
2026-05-19,Turkey,Izmir,21.6,58,22.0,3,4.2,239
2026-05-20,Turkey,Izmir,20.6,64,21.0,3,4.6,342
2026-05-21,Turkey,Izmir,21.7,60,22.1,3,5.4,20
2026-05-22,Turkey,Izmir,23.0,60,23.8,3,4.9,324
2026-05-23,Turkey,Izmir,21.6,81,23.6,95,6.7,286
