date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,United States,Houston,29.1,64,33.0,0,19.2,157
2026-05-17,United States,Houston,24.9,90,28.1,3,16.4,147
2026-05-17,United States,Houston,25.5,91,29.3,80,14.9,143
2026-05-17,United States,Houston,26.0,84,28.8,3,18.8,151
2026-05-18,United States,Houston,28.8,76,33.3,3,22.7,155
2026-05-19,United States,Houston,26.1,77,29.1,3,12.7,105
2026-05-20,United States,Houston,22.7,93,25.9,65,10.2,23
2026-05-21,United States,Houston,24.0,90,27.6,3,10.1,90
2026-05-22,United States,Houston,27.6,73,34.4,0,4.4,171
2026-05-23,United States,Houston,22.9,77,23.2,61,20.3,247
2026-05-24,United States,Houston,19.5,97,22.2,1,5.2,25
2026-05-25,United States,Houston,27.2,76,32.8,1,8.6,33
2026-05-26,United States,Houston,28.9,60,34.3,2,5.2,115
2026-05-27,United States,Houston,23.6,82,26.9,51,5.2,236
2026-05-28,United States,Houston,27.6,72,35.0,0,4.1,322
2026-05-29,United States,Houston,29.5,70,37.1,0,6.9,313
2026-05-30,United States,Houston,24.7,91,29.3,0,6.4,218
2026-05-31,United States,Houston,28.0,75,33.0,0,5.9,166
2026-06-01,United States,Houston,31.4,60,35.8,1,10.5,94
2026-06-02,United States,Houston,30.4,70,36.1,95,15.5,91
2026-06-03,United States,Houston,23.0,91,25.3,65,15.9,87
2026-06-04,United States,Houston,24.9,97,29.6,51,11.5,94
2026-06-05,United States,Houston,28.8,82,36.3,2,11.6,144
2026-06-06,United States,Houston,25.8,91,31.1,1,6.6,158
