date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,South Africa,Pretoria,15.3,63,13.0,0,13.0,91
2026-05-17,South Africa,Pretoria,20.3,36,18.8,2,1.1,72
2026-05-17,South Africa,Pretoria,20.2,35,18.7,1,1.4,50
2026-05-17,South Africa,Pretoria,20.1,33,18.3,2,1.8,323
2026-05-18,South Africa,Pretoria,16.4,54,14.8,3,5.6,327
2026-05-19,South Africa,Pretoria,11.6,95,11.4,0,3.4,196
2026-05-20,South Africa,Pretoria,14.6,56,13.1,3,2.6,56
2026-05-21,South Africa,Pretoria,13.2,72,12.3,2,3.7,43
2026-05-22,South Africa,Pretoria,14.1,71,13.0,2,5.6,291
2026-05-23,South Africa,Pretoria,20.1,37,18.4,1,4.2,320
2026-05-24,South Africa,Pretoria,21.0,33,18.7,1,6.3,288
2026-05-25,South Africa,Pretoria,15.9,51,13.9,0,7.1,260
2026-05-26,South Africa,Pretoria,15.1,63,13.6,0,6.9,245
2026-05-27,South Africa,Pretoria,14.9,69,14.2,0,4.1,221
2026-05-28,South Africa,Pretoria,13.8,63,12.7,0,2.1,165
2026-05-29,South Africa,Pretoria,14.4,66,13.7,0,1.2,153
2026-05-30,South Africa,Pretoria,20.0,49,19.0,1,5.7,44
2026-05-31,South Africa,Pretoria,17.7,55,16.6,1,4.9,66
