date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Egypt,Cairo,27.0,38,27.0,0,2.6,236
2026-05-17,Egypt,Cairo,38.9,20,38.3,0,18.7,210
2026-05-17,Egypt,Cairo,39.5,19,38.5,0,17.4,210
2026-05-17,Egypt,Cairo,39.7,16,37.5,0,13.7,235
2026-05-18,Egypt,Cairo,32.9,27,31.8,0,10.6,18
2026-05-19,Egypt,Cairo,30.7,31,28.9,1,15.3,9
2026-05-20,Egypt,Cairo,22.6,46,21.1,0,11.0,322
2026-05-21,Egypt,Cairo,24.9,41,23.7,1,10.1,325
2026-05-22,Egypt,Cairo,27.7,28,26.3,1,5.1,274
2026-05-23,Egypt,Cairo,31.4,19,30.0,2,8.7,265
2026-05-24,Egypt,Cairo,31.3,23,31.3,1,9.0,299
2026-05-25,Egypt,Cairo,27.7,39,26.4,2,13.9,343
2026-05-26,Egypt,Cairo,25.6,49,25.1,1,12.6,358
2026-05-27,Egypt,Cairo,26.4,52,26.3,2,14.6,344
2026-05-28,Egypt,Cairo,27.6,30,25.5,2,12.0,7
2026-05-29,Egypt,Cairo,26.6,46,26.3,0,10.6,350
