date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Thailand,Krabi,26.8,86,31.8,3,8.5,297
2026-05-17,Thailand,Krabi,27.0,90,32.2,3,11.1,309
2026-05-17,Thailand,Krabi,27.1,87,32.3,3,9.1,306
2026-05-17,Thailand,Krabi,25.8,96,31.6,3,6.4,342
2026-05-18,Thailand,Krabi,26.8,92,32.5,3,7.8,320
2026-05-19,Thailand,Krabi,25.5,97,30.5,51,11.7,297
2026-05-20,Thailand,Krabi,25.9,97,32.1,51,5.0,289
2026-05-21,Thailand,Krabi,26.1,94,32.7,51,1.1,360
2026-05-22,Thailand,Krabi,25.5,95,30.4,55,10.2,304
2026-05-23,Thailand,Krabi,27.1,92,34.1,3,2.0,333
2026-05-24,Thailand,Krabi,26.1,91,31.9,3,4.4,282
2026-05-25,Thailand,Krabi,25.3,97,31.0,53,6.3,252
2026-05-26,Thailand,Krabi,24.7,98,29.1,81,13.2,313
2026-05-27,Thailand,Krabi,27.4,87,32.8,1,9.0,286
2026-05-28,Thailand,Krabi,25.5,97,31.5,95,4.7,358
2026-05-29,Thailand,Krabi,25.2,99,30.9,3,7.0,339
2026-05-30,Thailand,Krabi,25.2,97,30.0,55,12.6,294
2026-05-31,Thailand,Krabi,25.3,99,31.3,51,5.6,343
2026-06-01,Thailand,Krabi,25.8,95,30.1,51,15.9,290
2026-06-02,Thailand,Krabi,24.6,97,29.0,80,13.0,284
2026-06-03,Thailand,Krabi,26.0,94,30.6,53,14.4,267
2026-06-04,Thailand,Krabi,26.2,95,32.3,3,5.8,272
2026-06-05,Thailand,Krabi,26.7,90,33.0,3,2.3,180
2026-06-06,Thailand,Krabi,26.1,96,32.0,3,7.6,223
2026-06-07,Thailand,Krabi,25.2,98,31.2,80,4.8,193
2026-06-08,Thailand,Krabi,25.3,98,31.3,81,4.8,297
2026-06-09,Thailand,Krabi,25.8,97,31.7,3,6.3,263
2026-06-10,Thailand,Krabi,26.0,93,32.5,3,1.1,342
2026-06-11,Thailand,Krabi,24.9,99,30.3,2,7.4,337
2026-06-12,Thailand,Krabi,25.7,96,31.3,2,7.3,106
2026-06-13,Thailand,Krabi,27.2,89,33.9,55,1.5,60
2026-06-14,Thailand,Krabi,27.1,95,34.0,95,4.5,74
2026-06-15,Thailand,Krabi,26.9,93,33.1,3,6.1,114
2026-06-16,Thailand,Krabi,27.5,92,34.5,3,2.2,5
2026-06-17,Thailand,Krabi,26.2,97,32.9,2,2.8,79
2026-06-18,Thailand,Krabi,25.9,99,32.6,3,2.9,79
2026-06-19,Thailand,Krabi,26.4,93,33.2,95,0.9,281
2026-06-20,Thailand,Krabi,26.7,96,33.5,51,3.3,324
2026-06-21,Thailand,Krabi,27.0,90,33.4,3,3.5,351
2026-06-22,Thailand,Krabi,27.5,80,32.0,1,8.9,315
2026-06-23,Thailand,Krabi,28.2,80,32.7,3,12.6,283
2026-06-24,Thailand,Krabi,29.2,75,34.1,2,8.8,251
2026-06-25,Thailand,Krabi,28.7,78,33.5,3,9.9,280
2026-06-26,Thailand,Krabi,25.8,93,30.9,95,8.9,304
2026-06-27,Thailand,Krabi,27.9,83,33.1,51,9.2,271
2026-06-29,Thailand,Krabi,26.9,85,31.3,51,12.0,287
2026-06-30,Thailand,Krabi,26.3,95,32.1,3,8.7,287
2026-07-01,Thailand,Krabi,25.9,93,30.4,51,14.3,275
2026-07-02,Thailand,Krabi,28.0,80,31.9,3,15.5,271
