date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Romania,Timisoara,18.1,68,18.5,51,1.8,135
2026-05-17,Romania,Timisoara,18.1,79,17.1,2,16.2,279
2026-05-17,Romania,Timisoara,18.2,74,17.0,3,15.8,285
2026-05-17,Romania,Timisoara,16.2,86,14.8,61,18.4,289
2026-05-18,Romania,Timisoara,17.6,54,15.8,0,8.6,277
2026-05-19,Romania,Timisoara,20.3,47,18.8,3,7.2,354
2026-05-20,Romania,Timisoara,22.0,44,20.2,0,10.8,331
2026-05-21,Romania,Timisoara,23.5,44,22.0,2,11.2,350
2026-05-22,Romania,Timisoara,25.3,43,23.2,0,18.0,4
2026-05-23,Romania,Timisoara,28.2,33,28.0,0,13.3,354
2026-05-24,Romania,Timisoara,28.8,30,28.2,3,13.0,9
2026-05-25,Romania,Timisoara,29.4,38,28.9,3,11.2,3
2026-05-26,Romania,Timisoara,28.3,33,27.6,0,5.4,286
2026-05-27,Romania,Timisoara,30.0,23,27.8,2,8.6,283
2026-05-28,Romania,Timisoara,23.6,21,20.6,1,5.4,67
2026-05-29,Romania,Timisoara,22.3,26,19.1,2,9.0,261
2026-05-30,Romania,Timisoara,25.9,26,22.0,3,18.0,305
2026-05-31,Romania,Timisoara,28.5,33,27.6,0,7.6,14
2026-06-01,Romania,Timisoara,17.8,86,17.7,0,13.7,247
2026-06-02,Romania,Timisoara,21.0,63,20.7,0,10.1,143
2026-06-03,Romania,Timisoara,22.0,65,22.1,2,10.8,237
2026-06-04,Romania,Timisoara,22.0,60,22.3,2,6.5,253
2026-06-05,Romania,Timisoara,27.2,38,26.7,3,7.2,277
2026-06-06,Romania,Timisoara,25.0,54,25.2,1,10.4,318
