date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Kenya,Kisumu,20.7,91,23.3,3,5.7,66
2026-05-17,Kenya,Kisumu,24.6,69,26.0,51,12.4,236
2026-05-17,Kenya,Kisumu,23.0,85,26.0,55,7.0,320
2026-05-17,Kenya,Kisumu,22.7,81,24.4,3,12.3,353
2026-05-18,Kenya,Kisumu,20.8,96,23.9,1,5.7,53
2026-05-19,Kenya,Kisumu,22.8,87,25.7,0,7.7,319
2026-05-20,Kenya,Kisumu,21.5,88,24.2,1,5.8,340
2026-05-21,Kenya,Kisumu,22.0,82,24.9,0,2.6,348
2026-05-22,Kenya,Kisumu,24.3,76,26.8,1,8.3,265
2026-05-23,Kenya,Kisumu,26.8,56,27.5,3,15.9,250
2026-05-24,Kenya,Kisumu,28.5,48,28.9,0,17.6,237
2026-05-25,Kenya,Kisumu,25.1,69,27.7,3,5.1,288
2026-05-26,Kenya,Kisumu,23.2,78,26.5,2,1.5,7
2026-05-27,Kenya,Kisumu,22.9,87,26.2,2,5.6,312
2026-05-28,Kenya,Kisumu,22.6,90,26.4,3,3.8,329
2026-05-29,Kenya,Kisumu,22.5,77,25.0,3,4.1,311
2026-05-30,Kenya,Kisumu,27.0,53,27.1,53,15.5,298
2026-05-31,Kenya,Kisumu,26.1,57,27.5,2,6.9,335
2026-06-01,Kenya,Kisumu,21.0,100,25.2,3,0.9,127
2026-06-02,Kenya,Kisumu,20.9,86,23.1,2,6.1,45
2026-06-03,Kenya,Kisumu,21.4,81,23.6,2,5.1,17
2026-06-04,Kenya,Kisumu,23.2,87,26.8,95,5.5,314
2026-06-05,Kenya,Kisumu,25.2,64,26.7,3,9.2,315
2026-06-06,Kenya,Kisumu,29.1,53,30.4,0,12.9,250
2026-06-07,Kenya,Kisumu,27.5,56,28.5,2,12.3,281
2026-06-08,Kenya,Kisumu,24.6,55,25.4,3,5.7,145
2026-06-09,Kenya,Kisumu,24.8,61,26.3,2,6.0,316
2026-06-10,Kenya,Kisumu,24.3,68,26.9,3,1.4,320
2026-06-11,Kenya,Kisumu,23.0,71,25.4,3,1.3,254
2026-06-12,Kenya,Kisumu,25.5,56,26.2,1,8.9,310
2026-06-13,Kenya,Kisumu,26.8,51,26.0,2,19.5,256
2026-06-14,Kenya,Kisumu,29.6,37,29.9,3,14.2,230
2026-06-15,Kenya,Kisumu,29.5,29,27.1,3,15.1,155
2026-06-16,Kenya,Kisumu,30.4,29,28.3,1,15.2,229
2026-06-17,Kenya,Kisumu,29.8,39,29.9,1,10.2,238
2026-06-18,Kenya,Kisumu,28.2,48,28.6,51,13.7,230
2026-06-19,Kenya,Kisumu,28.4,44,28.3,0,14.9,240
