date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Mexico,Tijuana,19.1,71,18.8,3,10.5,232
2026-05-17,Mexico,Tijuana,14.7,84,14.4,3,6.3,193
2026-05-17,Mexico,Tijuana,14.9,86,14.7,3,7.3,171
2026-05-17,Mexico,Tijuana,15.2,84,14.7,3,8.7,185
2026-05-18,Mexico,Tijuana,17.9,68,18.5,2,5.4,307
2026-05-19,Mexico,Tijuana,21.8,59,23.3,1,10.3,324
2026-05-20,Mexico,Tijuana,21.5,73,23.7,0,10.6,298
2026-05-21,Mexico,Tijuana,20.8,77,21.8,3,9.4,320
2026-05-22,Mexico,Tijuana,17.8,78,17.6,3,9.6,290
2026-05-23,Mexico,Tijuana,15.2,83,15.1,3,5.9,308
2026-05-24,Mexico,Tijuana,16.0,80,16.0,3,5.2,335
2026-05-25,Mexico,Tijuana,16.9,76,16.8,3,6.2,324
2026-05-26,Mexico,Tijuana,18.1,64,17.4,3,7.2,288
2026-05-27,Mexico,Tijuana,18.3,46,17.4,1,6.9,313
2026-05-28,Mexico,Tijuana,18.8,55,17.1,1,16.1,294
2026-05-29,Mexico,Tijuana,19.9,53,19.2,1,13.3,308
2026-05-30,Mexico,Tijuana,12.4,87,11.9,0,4.4,145
2026-05-31,Mexico,Tijuana,16.7,89,17.8,3,3.3,319
2026-06-01,Mexico,Tijuana,21.4,66,23.3,0,12.1,258
2026-06-02,Mexico,Tijuana,20.3,69,22.0,0,15.0,291
2026-06-03,Mexico,Tijuana,20.9,74,22.4,1,14.7,301
2026-06-04,Mexico,Tijuana,20.4,70,22.2,1,4.7,238
2026-06-05,Mexico,Tijuana,19.4,76,19.8,2,8.2,232
