date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Kenya,Malindi,25.9,82,28.2,3,20.0,182
2026-05-17,Kenya,Malindi,29.2,66,30.7,2,26.5,178
2026-05-17,Kenya,Malindi,28.8,68,29.9,1,26.5,176
2026-05-17,Kenya,Malindi,28.2,67,29.1,0,25.5,174
2026-05-18,Kenya,Malindi,27.2,73,29.0,3,21.1,178
2026-05-19,Kenya,Malindi,27.2,73,29.1,0,20.5,178
2026-05-20,Kenya,Malindi,27.1,74,28.6,1,24.3,179
2026-05-21,Kenya,Malindi,27.2,71,28.4,0,23.9,180
2026-05-22,Kenya,Malindi,27.1,73,28.8,1,22.0,177
2026-05-23,Kenya,Malindi,29.6,60,31.0,1,23.9,169
2026-05-24,Kenya,Malindi,29.5,62,31.3,2,23.5,171
2026-05-25,Kenya,Malindi,27.0,72,28.6,1,21.3,172
2026-05-26,Kenya,Malindi,27.0,69,28.4,2,20.5,179
2026-05-27,Kenya,Malindi,26.9,72,28.2,3,22.0,176
2026-05-28,Kenya,Malindi,26.1,79,27.9,51,21.9,175
2026-05-29,Kenya,Malindi,26.6,77,28.8,3,19.9,171
2026-05-30,Kenya,Malindi,28.0,72,29.9,1,22.2,178
2026-05-31,Kenya,Malindi,26.7,75,28.2,1,23.2,180
2026-06-01,Kenya,Malindi,23.3,97,26.9,51,12.2,204
2026-06-02,Kenya,Malindi,24.5,89,27.1,3,18.6,183
2026-06-03,Kenya,Malindi,25.5,80,28.4,2,13.2,186
2026-06-04,Kenya,Malindi,26.4,77,29.0,1,16.1,167
2026-06-05,Kenya,Malindi,26.8,71,28.6,1,17.3,170
2026-06-06,Kenya,Malindi,28.3,69,30.5,1,19.5,162
2026-06-07,Kenya,Malindi,26.8,75,29.2,0,17.2,154
2026-06-08,Kenya,Malindi,26.1,77,28.7,0,14.5,160
2026-06-09,Kenya,Malindi,26.2,75,28.1,3,18.0,164
2026-06-10,Kenya,Malindi,26.2,73,28.3,2,15.1,168
2026-06-11,Kenya,Malindi,25.7,76,27.0,51,20.9,176
2026-06-12,Kenya,Malindi,25.8,74,26.2,2,26.1,180
2026-06-13,Kenya,Malindi,25.8,72,26.7,51,21.3,175
2026-06-14,Kenya,Malindi,28.5,61,29.4,0,27.4,183
2026-06-15,Kenya,Malindi,26.1,72,26.6,51,24.8,186
2026-06-16,Kenya,Malindi,24.8,82,25.8,55,25.1,191
2026-06-17,Kenya,Malindi,27.0,72,28.2,3,23.6,183
2026-06-18,Kenya,Malindi,27.8,63,27.8,0,27.2,177
2026-06-19,Kenya,Malindi,27.7,65,28.4,1,24.0,172
2026-06-20,Kenya,Malindi,28.2,62,29.2,2,26.8,178
2026-06-21,Kenya,Malindi,28.0,51,27.2,0,27.4,183
2026-06-22,Kenya,Malindi,26.6,64,26.6,0,23.6,178
2026-06-23,Kenya,Malindi,27.4,65,27.8,1,26.8,173
2026-06-24,Kenya,Malindi,27.5,63,28.3,0,25.2,181
2026-06-25,Kenya,Malindi,27.4,62,27.6,0,26.5,184
2026-06-26,Kenya,Malindi,27.4,65,27.8,0,28.9,184
2026-06-27,Kenya,Malindi,28.0,61,29.3,0,24.9,184
2026-06-29,Kenya,Malindi,27.3,69,28.6,0,21.7,169
2026-06-30,Kenya,Malindi,28.1,62,29.4,0,23.5,175
2026-07-01,Kenya,Malindi,28.0,60,28.8,0,23.1,178
2026-07-02,Kenya,Malindi,28.4,57,28.8,3,25.4,181
2026-07-03,Kenya,Malindi,28.7,56,30.1,0,20.8,176
2026-07-04,Kenya,Malindi,27.7,63,29.0,51,23.2,174
2026-07-05,Kenya,Malindi,28.5,57,29.2,1,25.8,184
2026-07-06,Kenya,Malindi,27.5,69,27.9,3,27.6,184
2026-07-07,Kenya,Malindi,27.3,72,29.0,3,23.4,170
2026-07-08,Kenya,Malindi,26.9,68,29.1,0,19.3,184
2026-07-09,Kenya,Malindi,27.5,68,28.6,0,25.8,175
2026-07-10,Kenya,Malindi,27.9,64,29.7,3,20.9,167
2026-07-11,Kenya,Malindi,28.2,64,31.1,3,18.6,164
2026-07-12,Kenya,Malindi,28.4,64,31.0,3,20.1,173
2026-07-13,Kenya,Malindi,27.9,62,28.8,0,24.9,178
2026-07-14,Kenya,Malindi,28.7,57,30.1,3,23.5,175
2026-07-15,Kenya,Malindi,28.5,60,29.4,3,27.9,183
2026-07-16,Kenya,Malindi,28.3,61,29.3,3,27.6,184
2026-07-17,Kenya,Malindi,28.3,57,29.0,3,26.6,180
2026-07-18,Kenya,Malindi,28.4,59,29.8,3,25.0,182
2026-07-19,Kenya,Malindi,29.3,53,30.7,2,21.3,177
2026-07-20,Kenya,Malindi,28.6,61,31.0,0,18.2,166
2026-07-21,Kenya,Malindi,28.6,62,31.2,1,19.5,152
