date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Portugal,Lisbon,16.1,64,13.2,1,18.5,347
2026-05-17,Portugal,Lisbon,19.3,55,18.9,2,12.5,321
2026-05-17,Portugal,Lisbon,19.6,55,18.9,2,15.5,318
2026-05-17,Portugal,Lisbon,19.8,55,18.8,1,17.7,321
2026-05-18,Portugal,Lisbon,18.2,54,15.8,3,13.8,303
2026-05-19,Portugal,Lisbon,20.6,64,19.8,1,13.0,326
2026-05-20,Portugal,Lisbon,27.2,39,26.3,0,10.8,274
2026-05-21,Portugal,Lisbon,29.5,21,27.4,3,6.1,225
2026-05-22,Portugal,Lisbon,28.1,34,25.4,1,20.6,324
2026-05-23,Portugal,Lisbon,27.3,44,29.7,2,6.8,25
2026-05-24,Portugal,Lisbon,23.8,50,25.3,3,4.2,160
2026-05-25,Portugal,Lisbon,27.3,32,25.3,3,11.9,245
2026-05-26,Portugal,Lisbon,29.7,29,27.9,2,11.9,235
2026-05-27,Portugal,Lisbon,27.2,30,24.4,0,16.0,262
2026-05-28,Portugal,Lisbon,23.1,55,21.5,0,19.2,332
2026-05-29,Portugal,Lisbon,22.4,58,21.2,0,16.6,330
2026-05-30,Portugal,Lisbon,25.6,51,27.0,0,16.3,346
2026-05-31,Portugal,Lisbon,26.3,39,25.4,2,19.5,341
2026-06-01,Portugal,Lisbon,18.2,85,17.7,3,17.3,356
2026-06-02,Portugal,Lisbon,17.1,67,14.4,2,20.3,354
2026-06-03,Portugal,Lisbon,19.0,83,19.1,3,13.5,331
2026-06-04,Portugal,Lisbon,20.5,55,18.0,1,19.6,346
2026-06-05,Portugal,Lisbon,20.3,42,17.0,3,17.9,322
2026-06-06,Portugal,Lisbon,24.6,48,25.8,2,8.6,358
