date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,United Kingdom,Manchester,11.0,91,9.9,3,6.5,228
2026-05-17,United Kingdom,Manchester,12.2,54,8.8,3,12.6,270
2026-05-17,United Kingdom,Manchester,13.7,43,10.0,2,11.9,272
2026-05-17,United Kingdom,Manchester,14.2,40,10.2,3,14.0,274
2026-05-18,United Kingdom,Manchester,13.0,73,11.1,3,10.4,123
2026-05-19,United Kingdom,Manchester,13.7,88,12.5,51,11.5,209
2026-05-20,United Kingdom,Manchester,15.4,70,13.4,3,13.3,252
2026-05-21,United Kingdom,Manchester,20.4,62,20.2,3,7.6,280
2026-05-22,United Kingdom,Manchester,23.6,53,22.4,2,15.8,293
2026-05-23,United Kingdom,Manchester,19.1,54,18.5,1,8.3,276
2026-05-24,United Kingdom,Manchester,21.9,45,22.8,0,5.8,232
2026-05-25,United Kingdom,Manchester,32.4,27,30.3,0,16.6,224
2026-05-26,United Kingdom,Manchester,28.0,52,28.2,0,16.2,68
2026-05-27,United Kingdom,Manchester,22.9,49,21.3,0,14.4,108
2026-05-28,United Kingdom,Manchester,25.4,51,24.5,0,16.6,267
2026-05-29,United Kingdom,Manchester,19.8,47,17.2,0,14.4,284
2026-05-30,United Kingdom,Manchester,22.2,34,21.5,0,9.0,236
2026-05-31,United Kingdom,Manchester,18.7,49,15.8,3,16.2,286
2026-06-01,United Kingdom,Manchester,16.3,94,16.3,53,12.2,195
2026-06-02,United Kingdom,Manchester,16.3,71,14.5,2,14.4,273
2026-06-03,United Kingdom,Manchester,13.4,85,10.8,3,19.4,221
2026-06-04,United Kingdom,Manchester,15.6,68,12.2,3,22.3,271
2026-06-05,United Kingdom,Manchester,15.7,54,13.2,3,10.4,201
2026-06-06,United Kingdom,Manchester,16.6,64,14.4,3,14.8,163
2026-06-07,United Kingdom,Manchester,16.1,84,15.4,61,12.2,234
2026-06-08,United Kingdom,Manchester,15.2,47,11.3,0,16.6,288
2026-06-09,United Kingdom,Manchester,13.0,64,8.4,2,25.2,273
2026-06-10,United Kingdom,Manchester,14.2,55,11.0,3,14.0,286
2026-06-11,United Kingdom,Manchester,15.2,92,13.8,3,18.4,268
2026-06-12,United Kingdom,Manchester,18.3,47,14.1,0,23.4,282
2026-06-13,United Kingdom,Manchester,14.4,66,10.6,3,22.7,283
2026-06-14,United Kingdom,Manchester,16.3,53,14.8,3,8.3,300
2026-06-15,United Kingdom,Manchester,20.2,52,18.2,3,13.3,139
2026-06-16,United Kingdom,Manchester,22.0,49,21.4,3,5.8,191
2026-06-17,United Kingdom,Manchester,20.7,56,19.5,2,15.1,268
2026-06-18,United Kingdom,Manchester,22.3,61,21.2,3,17.6,198
2026-06-19,United Kingdom,Manchester,23.8,56,22.1,3,21.6,214
2026-06-20,United Kingdom,Manchester,19.3,56,17.8,3,11.9,286
2026-06-21,United Kingdom,Manchester,23.4,49,22.7,3,9.0,95
2026-06-22,United Kingdom,Manchester,28.0,42,28.0,3,11.9,134
2026-06-23,United Kingdom,Manchester,28.6,52,30.4,1,14.8,202
2026-06-24,United Kingdom,Manchester,28.0,51,31.1,0,5.8,273
2026-06-25,United Kingdom,Manchester,30.4,40,31.2,0,16.2,135
2026-06-26,United Kingdom,Manchester,33.1,45,35.4,1,9.7,199
2026-06-27,United Kingdom,Manchester,24.4,55,23.6,2,18.0,195
2026-06-29,United Kingdom,Manchester,19.5,48,17.4,3,11.2,276
2026-06-30,United Kingdom,Manchester,20.6,47,18.4,2,13.0,188
2026-07-01,United Kingdom,Manchester,17.9,73,16.8,3,14.4,277
2026-07-02,United Kingdom,Manchester,16.7,59,13.3,3,20.9,295
