date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Colombia,Cali,24.7,76,28.3,3,2.2,175
2026-05-17,Colombia,Cali,21.0,88,24.3,3,0.8,153
2026-05-17,Colombia,Cali,21.2,89,24.4,55,2.3,141
2026-05-17,Colombia,Cali,21.3,88,24.2,51,3.9,196
2026-05-18,Colombia,Cali,25.8,69,30.6,3,5.6,117
2026-05-19,Colombia,Cali,27.3,65,32.9,2,5.7,143
2026-05-20,Colombia,Cali,29.2,57,34.5,3,1.5,339
2026-05-21,Colombia,Cali,26.5,66,30.7,2,5.2,155
2026-05-22,Colombia,Cali,26.3,64,30.6,51,5.3,125
2026-05-23,Colombia,Cali,20.8,95,24.2,51,3.1,149
2026-05-24,Colombia,Cali,21.2,75,23.0,3,3.2,223
2026-05-25,Colombia,Cali,26.7,65,31.3,3,0.2,180
2026-05-26,Colombia,Cali,27.8,57,32.1,53,1.9,304
2026-05-27,Colombia,Cali,29.1,54,33.4,3,1.5,256
2026-05-28,Colombia,Cali,26.5,72,31.1,51,2.0,190
2026-05-29,Colombia,Cali,26.4,68,30.7,3,1.8,11
2026-05-30,Colombia,Cali,20.3,98,24.0,53,1.3,188
2026-05-31,Colombia,Cali,26.1,61,30.1,1,1.6,207
2026-06-01,Colombia,Cali,26.6,69,30.4,3,2.4,297
2026-06-02,Colombia,Cali,27.0,65,30.3,3,3.5,261
2026-06-03,Colombia,Cali,22.9,90,27.2,55,1.1,171
