date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,UAE,Sharjah,27.6,75,32.9,0,0.6,108
2026-05-17,UAE,Sharjah,33.6,53,37.1,95,13.0,346
2026-05-17,UAE,Sharjah,33.3,51,36.5,0,11.1,347
2026-05-17,UAE,Sharjah,32.5,53,36.6,0,4.8,347
2026-05-18,UAE,Sharjah,28.0,57,28.9,0,16.3,245
2026-05-19,UAE,Sharjah,29.8,47,31.1,0,8.9,187
2026-05-20,UAE,Sharjah,29.5,58,31.1,0,16.4,251
2026-05-21,UAE,Sharjah,29.1,58,31.8,0,8.3,200
2026-05-22,UAE,Sharjah,31.5,43,33.0,0,7.8,217
2026-05-23,UAE,Sharjah,33.2,40,33.7,0,16.7,256
2026-05-24,UAE,Sharjah,34.0,46,36.7,0,11.5,351
2026-05-25,UAE,Sharjah,30.2,67,35.5,0,3.4,6
2026-05-26,UAE,Sharjah,29.4,76,35.2,0,5.2,178
2026-05-27,UAE,Sharjah,30.2,69,35.1,0,7.8,203
2026-05-28,UAE,Sharjah,29.8,68,34.6,0,5.4,180
2026-05-29,UAE,Sharjah,29.9,68,34.7,0,6.5,194
2026-05-30,UAE,Sharjah,35.8,34,36.8,0,11.0,266
2026-05-31,UAE,Sharjah,32.2,59,36.0,0,11.8,237
2026-06-01,UAE,Sharjah,29.8,56,31.6,0,14.5,192
2026-06-02,UAE,Sharjah,30.7,55,32.9,0,14.1,203
2026-06-03,UAE,Sharjah,30.4,63,33.8,0,12.0,197
2026-06-04,UAE,Sharjah,32.5,54,36.0,0,9.4,222
2026-06-05,UAE,Sharjah,31.0,69,36.9,0,3.9,196
2026-06-06,UAE,Sharjah,34.7,52,38.8,0,10.6,269
2026-06-07,UAE,Sharjah,32.8,63,38.5,95,6.3,333
2026-06-08,UAE,Sharjah,33.5,48,36.5,0,9.2,225
2026-06-09,UAE,Sharjah,31.3,65,35.8,0,9.8,226
2026-06-10,UAE,Sharjah,30.8,70,36.0,0,8.2,202
2026-06-11,UAE,Sharjah,30.7,71,36.1,0,8.1,198
2026-06-12,UAE,Sharjah,31.2,71,37.6,0,2.7,293
2026-06-13,UAE,Sharjah,33.2,55,37.9,0,4.5,331
2026-06-14,UAE,Sharjah,37.8,36,40.8,0,13.2,326
2026-06-15,UAE,Sharjah,32.6,61,37.2,0,10.8,255
2026-06-16,UAE,Sharjah,33.2,56,35.9,0,19.3,250
2026-06-17,UAE,Sharjah,34.8,44,37.1,0,13.5,358
2026-06-18,UAE,Sharjah,38.1,36,39.6,0,18.0,12
2026-06-19,UAE,Sharjah,38.9,32,40.2,0,14.1,330
2026-06-20,UAE,Sharjah,39.8,25,41.6,0,10.1,281
2026-06-21,UAE,Sharjah,36.9,37,39.7,0,11.5,278
2026-06-22,UAE,Sharjah,37.4,35,40.2,0,5.1,352
2026-06-23,UAE,Sharjah,38.5,41,42.6,0,11.4,344
2026-06-24,UAE,Sharjah,38.2,44,43.0,0,11.0,337
2026-06-25,UAE,Sharjah,37.8,35,40.1,0,14.1,287
2026-06-26,UAE,Sharjah,36.4,41,38.9,0,17.7,255
2026-06-27,UAE,Sharjah,35.1,60,41.3,0,16.7,327
