date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,New Zealand,Wellington,11.7,79,8.6,3,18.0,143
2026-05-17,New Zealand,Wellington,11.2,77,8.0,0,16.7,139
2026-05-17,New Zealand,Wellington,11.1,80,8.2,1,16.1,141
2026-05-17,New Zealand,Wellington,11.1,79,8.4,1,14.5,137
2026-05-18,New Zealand,Wellington,7.4,88,5.8,2,3.6,57
2026-05-19,New Zealand,Wellington,12.1,87,8.6,0,23.9,355
2026-05-20,New Zealand,Wellington,13.2,88,9.3,3,29.6,357
2026-05-21,New Zealand,Wellington,12.4,88,10.4,3,14.8,171
2026-05-22,New Zealand,Wellington,14.5,92,12.3,3,22.4,345
2026-05-23,New Zealand,Wellington,11.7,88,9.9,0,12.0,134
2026-05-24,New Zealand,Wellington,9.5,80,7.4,0,7.6,54
2026-05-25,New Zealand,Wellington,14.0,81,11.4,3,19.3,307
2026-05-26,New Zealand,Wellington,9.5,93,8.4,3,4.5,106
2026-05-27,New Zealand,Wellington,11.7,91,11.2,0,4.5,2
2026-05-28,New Zealand,Wellington,9.8,99,9.2,3,3.4,177
2026-05-29,New Zealand,Wellington,10.2,94,7.9,3,14.8,6
2026-05-30,New Zealand,Wellington,14.0,84,10.2,2,28.5,2
2026-05-31,New Zealand,Wellington,15.1,83,11.1,3,32.4,12
2026-06-01,New Zealand,Wellington,15.8,97,15.4,51,15.0,24
2026-06-02,New Zealand,Wellington,12.9,93,11.9,2,10.2,154
2026-06-03,New Zealand,Wellington,14.1,85,10.3,1,30.1,357
2026-06-04,New Zealand,Wellington,15.3,97,11.0,51,40.9,336
2026-06-05,New Zealand,Wellington,13.5,91,10.7,1,23.3,328
2026-06-06,New Zealand,Wellington,12.3,89,12.3,1,0.9,233
2026-06-07,New Zealand,Wellington,12.9,71,9.3,1,20.5,347
2026-06-08,New Zealand,Wellington,9.2,82,6.1,55,15.2,221
2026-06-09,New Zealand,Wellington,12.3,62,7.6,1,24.1,192
2026-06-10,New Zealand,Wellington,7.8,87,5.3,2,10.0,38
2026-06-11,New Zealand,Wellington,10.7,95,10.2,3,3.4,354
2026-06-12,New Zealand,Wellington,8.6,92,6.5,3,9.7,15
2026-06-13,New Zealand,Wellington,12.6,91,10.2,0,19.2,345
2026-06-14,New Zealand,Wellington,14.3,90,10.2,0,34.2,323
2026-06-15,New Zealand,Wellington,10.4,87,5.3,51,32.0,172
2026-06-16,New Zealand,Wellington,12.1,76,6.6,1,33.9,327
2026-06-17,New Zealand,Wellington,9.2,86,7.8,1,4.6,101
2026-06-18,New Zealand,Wellington,11.9,70,8.7,0,15.9,141
2026-06-19,New Zealand,Wellington,14.5,80,9.0,2,39.9,333
2026-06-20,New Zealand,Wellington,15.5,90,11.2,3,38.7,336
2026-06-21,New Zealand,Wellington,11.3,74,7.2,1,22.7,162
2026-06-22,New Zealand,Wellington,8.0,84,5.7,2,7.9,39
2026-06-23,New Zealand,Wellington,12.1,73,10.0,3,9.8,24
2026-06-24,New Zealand,Wellington,11.7,87,10.4,3,9.0,60
2026-06-25,New Zealand,Wellington,8.9,89,-0.2,53,57.9,172
2026-06-26,New Zealand,Wellington,9.0,91,-0.4,55,60.0,189
2026-06-27,New Zealand,Wellington,10.0,88,3.6,51,40.2,172
2026-06-29,New Zealand,Wellington,8.9,67,4.6,2,18.7,138
2026-06-30,New Zealand,Wellington,5.0,87,2.9,2,3.2,63
2026-07-01,New Zealand,Wellington,7.6,82,3.8,0,17.2,27
2026-07-02,New Zealand,Wellington,11.8,77,7.5,0,25.4,350
2026-07-03,New Zealand,Wellington,12.2,87,7.8,51,30.6,341
2026-07-04,New Zealand,Wellington,11.8,61,4.9,3,38.2,11
2026-07-05,New Zealand,Wellington,10.0,88,7.7,3,12.8,166
2026-07-06,New Zealand,Wellington,12.0,94,8.0,53,29.8,140
2026-07-07,New Zealand,Wellington,11.7,88,6.5,51,35.3,146
