date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Kenya,Mombasa,27.0,77,29.3,2,19.5,185
2026-05-17,Kenya,Mombasa,29.0,64,30.3,3,25.9,180
2026-05-17,Kenya,Mombasa,28.5,69,29.9,3,24.9,177
2026-05-17,Kenya,Mombasa,27.8,70,29.6,3,21.1,175
2026-05-18,Kenya,Mombasa,27.4,74,29.9,3,17.6,179
2026-05-19,Kenya,Mombasa,27.3,74,29.8,0,17.1,179
2026-05-20,Kenya,Mombasa,27.1,77,29.4,0,20.7,178
2026-05-21,Kenya,Mombasa,27.1,73,29.2,0,18.7,181
2026-05-22,Kenya,Mombasa,27.4,72,29.4,0,19.5,176
2026-05-23,Kenya,Mombasa,29.2,61,30.6,1,22.8,171
2026-05-24,Kenya,Mombasa,28.9,66,31.0,3,21.6,178
