date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Romania,Bucharest,16.9,82,16.9,80,8.3,108
2026-05-17,Romania,Bucharest,14.9,78,14.1,61,7.4,61
2026-05-17,Romania,Bucharest,14.3,82,13.3,61,9.5,81
2026-05-17,Romania,Bucharest,15.9,65,15.0,3,4.6,108
2026-05-18,Romania,Bucharest,19.4,60,18.5,0,8.6,248
2026-05-19,Romania,Bucharest,20.7,65,21.3,3,4.3,48
2026-05-20,Romania,Bucharest,21.4,60,22.1,3,1.8,349
2026-05-21,Romania,Bucharest,19.6,72,20.0,3,6.8,302
2026-05-22,Romania,Bucharest,20.0,84,22.2,80,2.2,351
2026-05-23,Romania,Bucharest,25.2,52,25.6,3,10.3,25
2026-05-24,Romania,Bucharest,26.2,31,25.2,1,8.8,19
2026-05-25,Romania,Bucharest,26.8,39,26.2,2,7.6,278
2026-05-26,Romania,Bucharest,24.9,49,24.9,0,8.0,252
2026-05-27,Romania,Bucharest,26.8,44,27.1,0,5.7,235
2026-05-28,Romania,Bucharest,20.0,58,19.1,3,9.7,45
2026-05-29,Romania,Bucharest,19.5,36,17.1,2,6.4,16
2026-05-30,Romania,Bucharest,24.4,33,22.0,2,11.4,347
2026-05-31,Romania,Bucharest,23.6,62,25.1,80,3.1,201
2026-06-01,Romania,Bucharest,18.5,82,19.4,3,6.5,87
2026-06-02,Romania,Bucharest,19.1,81,20.2,2,5.7,215
2026-06-03,Romania,Bucharest,21.7,61,22.3,1,4.0,95
2026-06-04,Romania,Bucharest,20.9,87,23.7,95,2.6,34
2026-06-05,Romania,Bucharest,25.8,53,26.9,2,5.4,176
2026-06-06,Romania,Bucharest,26.6,64,29.0,80,7.2,174
2026-06-07,Romania,Bucharest,25.2,68,27.9,80,4.5,76
2026-06-08,Romania,Bucharest,25.0,63,27.0,3,4.8,103
2026-06-09,Romania,Bucharest,26.9,53,28.4,1,5.1,39
2026-06-10,Romania,Bucharest,25.9,60,27.9,2,4.7,32
2026-06-11,Romania,Bucharest,24.1,67,25.9,3,5.8,7
2026-06-12,Romania,Bucharest,15.4,80,14.3,3,11.0,71
2026-06-13,Romania,Bucharest,23.4,42,22.3,2,7.3,281
