date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Canada,Calgary,2.0,97,-1.1,73,8.4,350
2026-05-17,Canada,Calgary,0.1,88,-3.4,0,7.4,346
2026-05-17,Canada,Calgary,0.8,86,-3.0,0,10.1,354
2026-05-17,Canada,Calgary,3.1,80,-1.3,0,15.2,7
2026-05-18,Canada,Calgary,9.7,58,8.3,2,4.9,234
2026-05-19,Canada,Calgary,13.3,45,9.0,3,16.4,308
2026-05-20,Canada,Calgary,10.8,46,5.9,3,21.3,356
2026-05-21,Canada,Calgary,14.6,32,12.7,0,8.2,311
2026-05-22,Canada,Calgary,15.2,40,13.7,0,5.1,188
2026-05-23,Canada,Calgary,5.9,66,3.1,0,4.7,279
2026-05-24,Canada,Calgary,8.6,63,5.7,0,7.5,343
2026-05-25,Canada,Calgary,18.4,44,17.4,0,7.1,165
2026-05-26,Canada,Calgary,23.3,28,21.2,1,15.0,30
2026-05-27,Canada,Calgary,23.0,46,22.8,0,13.8,15
2026-05-28,Canada,Calgary,25.0,47,27.0,0,5.6,15
2026-05-29,Canada,Calgary,26.1,26,24.0,1,17.7,253
2026-05-30,Canada,Calgary,12.9,67,9.8,3,15.8,1
