date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,France,Lyon,13.9,49,11.6,2,4.8,333
2026-05-17,France,Lyon,18.2,35,18.4,3,1.1,288
2026-05-17,France,Lyon,18.5,32,17.9,2,4.4,351
2026-05-17,France,Lyon,19.4,32,17.8,2,5.7,145
2026-05-18,France,Lyon,18.7,40,15.8,2,10.7,320
2026-05-19,France,Lyon,21.5,40,19.6,2,7.8,167
2026-05-20,France,Lyon,22.8,40,20.6,0,12.4,22
2026-05-21,France,Lyon,26.3,34,24.8,1,8.6,22
2026-05-22,France,Lyon,29.9,27,28.5,1,8.0,355
2026-05-23,France,Lyon,29.3,35,31.4,1,5.6,15
2026-05-24,France,Lyon,30.5,32,33.3,0,1.3,56
2026-05-25,France,Lyon,32.8,33,33.1,1,7.6,59
2026-05-26,France,Lyon,33.1,26,32.4,1,6.8,122
2026-05-27,France,Lyon,32.1,23,30.3,0,9.3,28
2026-05-28,France,Lyon,28.8,36,27.4,0,14.4,359
2026-05-29,France,Lyon,30.8,29,29.2,0,12.0,16
2026-05-30,France,Lyon,31.7,26,32.9,1,3.3,347
2026-05-31,France,Lyon,28.3,45,27.7,3,15.5,338
2026-06-01,France,Lyon,22.7,50,23.0,3,1.9,248
2026-06-02,France,Lyon,19.1,61,18.4,1,7.2,307
2026-06-03,France,Lyon,20.8,48,20.0,3,4.3,180
2026-06-04,France,Lyon,16.0,85,15.5,61,11.0,157
2026-06-05,France,Lyon,20.0,36,17.3,1,9.2,21
2026-06-06,France,Lyon,24.8,38,25.3,1,9.1,189
