date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Switzerland,Geneva,11.9,53,9.9,1,2.6,214
2026-05-17,Switzerland,Geneva,15.1,36,14.6,2,3.6,45
2026-05-17,Switzerland,Geneva,15.7,34,14.9,1,4.3,42
2026-05-17,Switzerland,Geneva,17.4,26,15.4,1,5.6,225
2026-05-18,Switzerland,Geneva,16.6,50,14.7,80,7.0,69
2026-05-19,Switzerland,Geneva,18.7,43,16.4,3,9.3,208
2026-05-20,Switzerland,Geneva,21.0,41,18.9,0,9.8,343
2026-05-21,Switzerland,Geneva,24.0,40,22.9,1,7.0,12
2026-05-22,Switzerland,Geneva,26.8,36,25.7,0,8.9,27
2026-05-23,Switzerland,Geneva,26.3,31,27.0,1,7.0,21
2026-05-24,Switzerland,Geneva,27.1,43,29.2,0,7.6,31
2026-05-25,Switzerland,Geneva,29.3,36,29.0,1,7.4,346
2026-05-26,Switzerland,Geneva,28.0,48,29.3,0,5.3,62
2026-05-27,Switzerland,Geneva,29.9,17,26.7,0,10.0,334
2026-05-28,Switzerland,Geneva,27.1,38,25.1,0,16.7,33
2026-05-29,Switzerland,Geneva,27.1,28,25.0,0,8.8,9
2026-05-30,Switzerland,Geneva,27.2,28,26.3,3,4.5,29
2026-05-31,Switzerland,Geneva,27.9,46,28.3,3,10.2,280
2026-06-01,Switzerland,Geneva,20.6,64,21.7,3,0.7,180
2026-06-02,Switzerland,Geneva,16.7,80,17.2,95,3.8,319
2026-06-03,Switzerland,Geneva,17.7,55,16.6,2,5.2,214
2026-06-04,Switzerland,Geneva,14.8,75,14.0,61,6.8,155
2026-06-05,Switzerland,Geneva,18.7,46,16.8,1,8.0,36
2026-06-06,Switzerland,Geneva,23.0,40,22.3,2,13.3,221
2026-06-07,Switzerland,Geneva,24.9,37,23.9,1,9.8,234
2026-06-08,Switzerland,Geneva,22.7,51,23.1,61,1.8,143
2026-06-09,Switzerland,Geneva,19.2,46,18.0,3,3.6,264
2026-06-10,Switzerland,Geneva,17.5,42,15.2,2,6.5,3
2026-06-11,Switzerland,Geneva,18.6,43,16.8,2,5.5,337
2026-06-12,Switzerland,Geneva,24.2,42,23.3,0,7.9,360
2026-06-13,Switzerland,Geneva,29.1,37,29.6,1,5.5,58
2026-06-14,Switzerland,Geneva,27.1,33,28.5,1,5.1,51
2026-06-15,Switzerland,Geneva,28.0,26,25.6,0,16.5,36
2026-06-16,Switzerland,Geneva,29.5,22,29.9,2,2.9,90
2026-06-17,Switzerland,Geneva,32.2,30,33.3,1,10.2,203
2026-06-18,Switzerland,Geneva,31.3,32,33.7,0,4.4,35
2026-06-19,Switzerland,Geneva,33.7,26,34.4,1,11.8,230
2026-06-20,Switzerland,Geneva,29.8,40,33.3,0,2.6,74
2026-06-21,Switzerland,Geneva,32.9,21,34.0,0,4.2,59
2026-06-22,Switzerland,Geneva,35.6,24,35.6,0,11.9,14
2026-06-23,Switzerland,Geneva,34.6,28,36.0,1,11.5,14
2026-06-24,Switzerland,Geneva,33.4,34,34.7,0,16.1,24
2026-06-25,Switzerland,Geneva,34.1,31,37.3,0,4.0,265
2026-06-26,Switzerland,Geneva,34.6,31,37.3,0,7.1,45
2026-06-27,Switzerland,Geneva,34.7,32,37.0,0,9.6,236
2026-06-29,Switzerland,Geneva,32.1,34,33.5,1,10.5,22
2026-06-30,Switzerland,Geneva,29.6,45,33.3,0,5.1,39
2026-07-01,Switzerland,Geneva,24.4,54,24.2,2,16.3,35
2026-07-02,Switzerland,Geneva,27.4,28,26.6,0,14.1,52
2026-07-03,Switzerland,Geneva,28.2,34,28.5,1,12.7,29
2026-07-04,Switzerland,Geneva,27.5,26,26.5,0,13.5,44
2026-07-05,Switzerland,Geneva,28.8,25,29.8,0,3.4,58
2026-07-06,Switzerland,Geneva,31.1,23,31.3,1,8.7,48
2026-07-07,Switzerland,Geneva,30.8,21,31.1,0,7.3,20
2026-07-08,Switzerland,Geneva,32.6,20,33.8,0,1.4,180
2026-07-09,Switzerland,Geneva,31.7,23,31.2,0,14.1,32
2026-07-10,Switzerland,Geneva,30.8,32,32.7,0,6.1,28
