date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Saudi Arabia,Riyadh,32.6,9,27.9,0,13.1,359
2026-05-17,Saudi Arabia,Riyadh,34.8,9,31.6,0,9.2,348
2026-05-17,Saudi Arabia,Riyadh,34.8,9,31.0,0,8.8,341
2026-05-17,Saudi Arabia,Riyadh,34.1,9,29.9,0,10.8,342
2026-05-18,Saudi Arabia,Riyadh,33.2,15,31.1,0,3.0,335
2026-05-19,Saudi Arabia,Riyadh,37.8,8,34.0,0,8.8,329
2026-05-20,Saudi Arabia,Riyadh,34.6,11,31.3,0,8.0,42
2026-05-21,Saudi Arabia,Riyadh,38.5,11,36.0,0,5.2,202
2026-05-22,Saudi Arabia,Riyadh,34.5,12,30.7,0,12.1,58
2026-05-23,Saudi Arabia,Riyadh,40.2,8,37.3,0,8.1,55
2026-05-24,Saudi Arabia,Riyadh,42.6,6,40.6,0,1.9,253
2026-05-25,Saudi Arabia,Riyadh,39.2,8,35.8,0,7.6,65
2026-05-26,Saudi Arabia,Riyadh,37.8,9,33.9,0,11.2,93
2026-05-27,Saudi Arabia,Riyadh,38.5,8,35.3,0,5.4,50
2026-05-28,Saudi Arabia,Riyadh,38.0,13,36.5,0,1.1,72
2026-05-29,Saudi Arabia,Riyadh,38.3,7,35.0,0,5.5,226
2026-05-30,Saudi Arabia,Riyadh,41.7,7,39.1,0,2.8,320
2026-05-31,Saudi Arabia,Riyadh,40.8,8,36.9,0,12.6,104
2026-06-01,Saudi Arabia,Riyadh,35.8,10,32.1,0,10.6,156
2026-06-02,Saudi Arabia,Riyadh,37.2,8,33.5,0,9.3,170
2026-06-03,Saudi Arabia,Riyadh,36.9,8,33.2,0,8.3,355
2026-06-04,Saudi Arabia,Riyadh,38.8,8,35.1,0,10.1,47
2026-06-05,Saudi Arabia,Riyadh,38.9,8,34.8,0,11.4,55
2026-06-06,Saudi Arabia,Riyadh,44.0,5,40.9,0,3.3,221
2026-06-07,Saudi Arabia,Riyadh,42.8,6,39.1,0,7.9,47
2026-06-08,Saudi Arabia,Riyadh,39.6,8,35.9,0,10.0,124
2026-06-09,Saudi Arabia,Riyadh,40.4,7,36.9,0,6.7,251
2026-06-10,Saudi Arabia,Riyadh,39.6,7,35.6,0,10.1,12
2026-06-11,Saudi Arabia,Riyadh,37.3,8,33.3,0,10.5,357
2026-06-12,Saudi Arabia,Riyadh,39.5,7,35.4,0,11.0,6
2026-06-13,Saudi Arabia,Riyadh,41.7,6,38.9,0,2.2,325
