date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Czech Republic,Karlovy Vary,9.3,64,6.9,2,4.8,228
2026-05-17,Czech Republic,Karlovy Vary,15.5,41,13.4,1,11.1,257
2026-05-17,Czech Republic,Karlovy Vary,15.3,44,12.2,3,15.0,253
2026-05-17,Czech Republic,Karlovy Vary,15.8,38,12.9,2,10.5,248
2026-05-18,Czech Republic,Karlovy Vary,17.4,40,15.4,2,4.1,255
2026-05-19,Czech Republic,Karlovy Vary,17.3,42,15.0,3,6.6,241
2026-05-20,Czech Republic,Karlovy Vary,14.3,80,13.5,80,7.8,236
2026-05-21,Czech Republic,Karlovy Vary,18.6,55,17.7,2,5.0,270
2026-05-22,Czech Republic,Karlovy Vary,22.9,42,21.7,1,7.6,90
2026-05-23,Czech Republic,Karlovy Vary,26.7,36,28.2,0,3.6,270
2026-05-24,Czech Republic,Karlovy Vary,28.6,40,30.5,1,5.8,274
2026-05-25,Czech Republic,Karlovy Vary,26.7,39,25.7,1,10.2,51
2026-05-26,Czech Republic,Karlovy Vary,27.1,34,26.1,1,6.7,126
2026-05-27,Czech Republic,Karlovy Vary,20.2,38,17.5,0,10.4,358
2026-05-28,Czech Republic,Karlovy Vary,18.4,31,15.5,0,6.6,9
2026-05-29,Czech Republic,Karlovy Vary,23.1,27,20.9,0,4.5,256
2026-05-30,Czech Republic,Karlovy Vary,25.8,44,25.0,2,19.3,307
2026-05-31,Czech Republic,Karlovy Vary,22.7,61,23.1,3,7.9,267
2026-06-01,Czech Republic,Karlovy Vary,14.7,76,14.4,3,3.3,167
2026-06-02,Czech Republic,Karlovy Vary,19.7,55,19.6,3,2.2,171
2026-06-03,Czech Republic,Karlovy Vary,13.2,77,12.4,3,4.0,190
2026-06-04,Czech Republic,Karlovy Vary,19.8,70,21.0,3,1.8,37
2026-06-05,Czech Republic,Karlovy Vary,18.0,52,16.4,2,7.7,242
2026-06-06,Czech Republic,Karlovy Vary,22.4,34,20.4,3,6.2,201
2026-06-07,Czech Republic,Karlovy Vary,21.4,32,18.0,2,13.8,277
2026-06-08,Czech Republic,Karlovy Vary,24.1,39,23.1,3,5.5,169
2026-06-09,Czech Republic,Karlovy Vary,17.9,41,15.1,3,9.8,242
2026-06-10,Czech Republic,Karlovy Vary,13.8,66,12.6,3,3.9,236
2026-06-11,Czech Republic,Karlovy Vary,11.6,78,10.3,3,4.7,189
2026-06-12,Czech Republic,Karlovy Vary,15.0,86,14.5,80,9.4,247
2026-06-13,Czech Republic,Karlovy Vary,21.6,39,17.5,2,23.2,289
2026-06-14,Czech Republic,Karlovy Vary,14.9,52,11.0,2,18.6,279
2026-06-15,Czech Republic,Karlovy Vary,17.4,46,13.9,2,16.6,288
2026-06-16,Czech Republic,Karlovy Vary,18.4,68,17.1,80,14.0,244
2026-06-17,Czech Republic,Karlovy Vary,22.8,54,21.6,80,14.8,284
2026-06-18,Czech Republic,Karlovy Vary,28.7,39,29.0,2,10.5,297
2026-06-19,Czech Republic,Karlovy Vary,32.4,30,33.2,2,2.7,247
2026-06-20,Czech Republic,Karlovy Vary,28.4,48,30.6,1,7.4,331
2026-06-21,Czech Republic,Karlovy Vary,30.4,42,31.0,81,10.5,344
2026-06-22,Czech Republic,Karlovy Vary,28.3,54,31.5,2,1.0,135
2026-06-23,Czech Republic,Karlovy Vary,28.0,43,29.3,2,3.3,96
2026-06-24,Czech Republic,Karlovy Vary,30.1,39,33.4,1,2.3,141
2026-06-25,Czech Republic,Karlovy Vary,31.8,35,33.1,1,7.4,104
2026-06-26,Czech Republic,Karlovy Vary,34.0,26,35.3,0,7.6,8
2026-06-27,Czech Republic,Karlovy Vary,35.8,24,37.4,3,5.7,325
2026-06-29,Czech Republic,Karlovy Vary,29.3,46,30.1,2,13.2,343
2026-06-30,Czech Republic,Karlovy Vary,22.6,76,24.8,3,5.6,45
2026-07-01,Czech Republic,Karlovy Vary,22.1,68,23.2,3,6.8,295
2026-07-02,Czech Republic,Karlovy Vary,23.7,43,21.8,2,16.3,275
2026-07-03,Czech Republic,Karlovy Vary,20.6,38,18.7,1,15.8,300
2026-07-04,Czech Republic,Karlovy Vary,19.9,48,18.0,3,13.6,287
2026-07-05,Czech Republic,Karlovy Vary,20.0,62,18.2,3,17.6,281
2026-07-06,Czech Republic,Karlovy Vary,19.0,67,17.2,80,18.4,266
2026-07-07,Czech Republic,Karlovy Vary,25.7,38,23.8,3,19.1,267
2026-07-08,Czech Republic,Karlovy Vary,20.7,46,19.9,1,15.8,305
2026-07-09,Czech Republic,Karlovy Vary,22.9,38,22.7,1,10.7,318
2026-07-10,Czech Republic,Karlovy Vary,25.2,42,27.4,1,1.1,108
2026-07-11,Czech Republic,Karlovy Vary,24.2,37,24.1,1,9.7,39
2026-07-12,Czech Republic,Karlovy Vary,25.3,37,23.4,3,14.4,356
2026-07-13,Czech Republic,Karlovy Vary,28.8,35,28.4,2,12.1,63
2026-07-14,Czech Republic,Karlovy Vary,25.0,55,25.2,3,12.2,45
2026-07-15,Czech Republic,Karlovy Vary,23.0,61,24.3,2,9.0,90
2026-07-16,Czech Republic,Karlovy Vary,26.6,47,28.4,2,5.9,142
