date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Czech Republic,Karlovy Vary,9.3,64,6.9,2,4.8,228
2026-05-17,Czech Republic,Karlovy Vary,15.5,41,13.4,1,11.1,257
2026-05-17,Czech Republic,Karlovy Vary,15.3,44,12.2,3,15.0,253
2026-05-17,Czech Republic,Karlovy Vary,15.8,38,12.9,2,10.5,248
2026-05-18,Czech Republic,Karlovy Vary,17.4,40,15.4,2,4.1,255
2026-05-19,Czech Republic,Karlovy Vary,17.3,42,15.0,3,6.6,241
2026-05-20,Czech Republic,Karlovy Vary,14.3,80,13.5,80,7.8,236
2026-05-21,Czech Republic,Karlovy Vary,18.6,55,17.7,2,5.0,270
2026-05-22,Czech Republic,Karlovy Vary,22.9,42,21.7,1,7.6,90
2026-05-23,Czech Republic,Karlovy Vary,26.7,36,28.2,0,3.6,270
2026-05-24,Czech Republic,Karlovy Vary,28.6,40,30.5,1,5.8,274
2026-05-25,Czech Republic,Karlovy Vary,26.7,39,25.7,1,10.2,51
2026-05-26,Czech Republic,Karlovy Vary,27.1,34,26.1,1,6.7,126
2026-05-27,Czech Republic,Karlovy Vary,20.2,38,17.5,0,10.4,358
2026-05-28,Czech Republic,Karlovy Vary,18.4,31,15.5,0,6.6,9
2026-05-29,Czech Republic,Karlovy Vary,23.1,27,20.9,0,4.5,256
2026-05-30,Czech Republic,Karlovy Vary,25.8,44,25.0,2,19.3,307
2026-05-31,Czech Republic,Karlovy Vary,22.7,61,23.1,3,7.9,267
2026-06-01,Czech Republic,Karlovy Vary,14.7,76,14.4,3,3.3,167
2026-06-02,Czech Republic,Karlovy Vary,19.7,55,19.6,3,2.2,171
2026-06-03,Czech Republic,Karlovy Vary,13.2,77,12.4,3,4.0,190
2026-06-04,Czech Republic,Karlovy Vary,19.8,70,21.0,3,1.8,37
2026-06-05,Czech Republic,Karlovy Vary,18.0,52,16.4,2,7.7,242
2026-06-06,Czech Republic,Karlovy Vary,22.4,34,20.4,3,6.2,201
2026-06-07,Czech Republic,Karlovy Vary,21.4,32,18.0,2,13.8,277
2026-06-08,Czech Republic,Karlovy Vary,24.1,39,23.1,3,5.5,169
2026-06-09,Czech Republic,Karlovy Vary,17.9,41,15.1,3,9.8,242
