date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Thailand,Pattaya,28.3,83,32.7,3,17.0,233
2026-05-17,Thailand,Pattaya,31.0,65,34.5,3,15.8,255
2026-05-17,Thailand,Pattaya,31.0,69,35.2,3,15.9,260
2026-05-17,Thailand,Pattaya,28.2,86,33.4,51,12.8,244
2026-05-18,Thailand,Pattaya,28.2,85,33.9,3,8.8,282
2026-05-19,Thailand,Pattaya,27.1,87,31.7,53,14.2,246
2026-05-20,Thailand,Pattaya,29.2,77,33.6,3,15.7,223
2026-05-21,Thailand,Pattaya,28.9,80,33.8,3,12.6,185
2026-05-22,Thailand,Pattaya,26.4,93,31.4,81,12.6,175
2026-05-23,Thailand,Pattaya,29.4,77,34.3,3,13.4,174
2026-05-24,Thailand,Pattaya,29.4,77,33.4,1,19.0,207
2026-05-25,Thailand,Pattaya,29.1,78,33.6,0,15.4,229
2026-05-26,Thailand,Pattaya,26.4,95,32.7,55,5.7,148
2026-05-27,Thailand,Pattaya,28.3,91,35.1,95,7.5,210
2026-05-28,Thailand,Pattaya,27.7,90,33.7,95,9.4,188
2026-05-29,Thailand,Pattaya,27.7,90,33.4,3,10.6,210
2026-05-30,Thailand,Pattaya,28.5,83,34.0,2,9.4,151
2026-05-31,Thailand,Pattaya,26.4,92,32.3,80,6.2,173
2026-06-01,Thailand,Pattaya,27.1,94,34.3,3,1.9,119
2026-06-02,Thailand,Pattaya,27.9,84,32.8,1,12.5,216
2026-06-03,Thailand,Pattaya,26.4,90,30.1,55,19.6,212
2026-06-04,Thailand,Pattaya,27.9,80,30.8,3,22.4,222
2026-06-05,Thailand,Pattaya,28.0,81,31.3,3,21.2,222
2026-06-06,Thailand,Pattaya,29.1,77,33.1,3,17.4,207
2026-06-07,Thailand,Pattaya,28.6,85,33.3,95,18.3,213
2026-06-08,Thailand,Pattaya,28.7,83,33.5,3,15.3,225
2026-06-09,Thailand,Pattaya,28.4,84,32.8,3,17.2,223
2026-06-10,Thailand,Pattaya,26.7,91,31.4,3,14.7,208
2026-06-11,Thailand,Pattaya,26.2,95,31.7,3,10.7,207
2026-06-12,Thailand,Pattaya,28.1,84,33.3,1,10.7,221
2026-06-13,Thailand,Pattaya,29.0,81,34.7,3,8.8,195
2026-06-14,Thailand,Pattaya,29.8,71,33.6,3,16.3,205
2026-06-15,Thailand,Pattaya,29.5,78,34.8,2,11.7,181
2026-06-16,Thailand,Pattaya,29.9,72,34.6,3,10.8,184
2026-06-17,Thailand,Pattaya,30.5,65,35.0,3,7.7,210
2026-06-18,Thailand,Pattaya,29.1,76,34.2,3,8.6,219
2026-06-19,Thailand,Pattaya,26.4,94,32.2,3,7.5,147
2026-06-20,Thailand,Pattaya,31.5,56,34.9,3,9.0,218
