date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Norway,Bergen,13.6,64,12.0,3,5.4,61
2026-05-17,Norway,Bergen,11.4,82,8.9,51,14.8,174
2026-05-17,Norway,Bergen,11.7,78,8.8,3,15.8,179
2026-05-17,Norway,Bergen,12.5,70,9.4,3,16.6,179
2026-05-18,Norway,Bergen,11.1,91,10.7,53,2.5,44
2026-05-19,Norway,Bergen,12.4,81,10.2,3,13.7,145
2026-05-20,Norway,Bergen,16.2,65,14.9,3,8.6,150
2026-05-21,Norway,Bergen,16.4,64,15.2,1,7.2,178
2026-05-22,Norway,Bergen,15.4,89,14.5,3,14.0,167
2026-05-23,Norway,Bergen,11.1,99,9.7,51,11.5,197
2026-05-24,Norway,Bergen,13.9,89,12.4,3,14.4,155
2026-05-25,Norway,Bergen,11.9,99,10.8,3,11.2,172
2026-05-26,Norway,Bergen,11.2,90,8.5,3,17.3,320
2026-05-27,Norway,Bergen,12.6,74,10.3,1,12.6,336
2026-05-28,Norway,Bergen,15.8,55,14.2,1,5.0,248
2026-05-29,Norway,Bergen,12.9,96,11.7,3,13.0,151
2026-05-30,Norway,Bergen,13.6,99,14.0,3,4.7,249
2026-05-31,Norway,Bergen,13.1,97,13.2,51,4.7,283
2026-06-01,Norway,Bergen,12.7,93,12.0,3,7.9,170
2026-06-02,Norway,Bergen,15.4,90,14.5,55,14.0,134
2026-06-03,Norway,Bergen,14.2,89,12.1,3,19.4,160
2026-06-04,Norway,Bergen,15.4,78,14.2,3,11.5,161
2026-06-05,Norway,Bergen,12.2,91,10.8,3,11.2,177
2026-06-06,Norway,Bergen,15.2,66,14.6,2,10.8,297
2026-06-07,Norway,Bergen,19.9,64,19.1,3,11.5,187
2026-06-08,Norway,Bergen,13.4,94,11.7,61,17.3,153
2026-06-09,Norway,Bergen,10.5,96,7.7,61,18.7,265
2026-06-10,Norway,Bergen,12.1,77,10.8,3,5.8,222
2026-06-11,Norway,Bergen,13.1,89,11.3,3,15.1,162
2026-06-12,Norway,Bergen,11.8,94,10.9,53,7.9,170
2026-06-13,Norway,Bergen,15.1,82,13.2,51,17.3,336
2026-06-14,Norway,Bergen,21.4,59,21.1,2,16.9,324
2026-06-15,Norway,Bergen,17.7,55,15.2,0,18.7,317
2026-06-16,Norway,Bergen,17.4,59,16.0,1,15.5,305
2026-06-17,Norway,Bergen,14.1,89,13.5,51,9.0,176
2026-06-18,Norway,Bergen,17.8,77,17.1,2,13.0,172
2026-06-19,Norway,Bergen,17.9,91,16.7,3,23.4,150
2026-06-20,Norway,Bergen,13.9,99,12.0,61,20.9,191
2026-06-21,Norway,Bergen,16.3,71,14.9,3,13.3,266
2026-06-22,Norway,Bergen,17.7,64,16.9,2,11.5,296
2026-06-23,Norway,Bergen,15.8,73,13.2,3,20.2,170
2026-06-24,Norway,Bergen,14.6,96,15.0,3,6.5,253
2026-06-25,Norway,Bergen,16.1,79,15.5,3,9.4,179
2026-06-26,Norway,Bergen,17.8,79,17.3,3,12.6,176
2026-06-27,Norway,Bergen,22.0,88,23.9,55,13.3,134
2026-06-29,Norway,Bergen,18.4,69,17.2,2,13.3,204
2026-06-30,Norway,Bergen,18.6,58,17.5,3,7.9,205
2026-07-01,Norway,Bergen,19.5,78,20.5,2,7.2,295
2026-07-02,Norway,Bergen,15.6,82,13.8,51,18.0,131
2026-07-03,Norway,Bergen,13.5,78,10.9,3,16.9,319
2026-07-04,Norway,Bergen,15.4,79,14.0,3,13.0,170
2026-07-05,Norway,Bergen,14.9,64,12.0,2,16.6,323
2026-07-06,Norway,Bergen,15.9,76,15.5,3,6.5,197
2026-07-07,Norway,Bergen,16.3,73,17.2,1,6.5,323
2026-07-08,Norway,Bergen,16.5,73,15.3,3,11.9,296
2026-07-09,Norway,Bergen,18.1,71,18.3,2,7.9,322
2026-07-10,Norway,Bergen,22.9,67,24.1,0,15.1,325
2026-07-11,Norway,Bergen,18.8,65,17.2,3,15.1,327
2026-07-12,Norway,Bergen,20.7,57,20.8,0,11.5,311
2026-07-13,Norway,Bergen,23.1,55,23.8,0,11.9,214
2026-07-14,Norway,Bergen,21.6,59,22.2,0,10.8,294
