date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Morocco,Agadir,22.2,53,19.4,0,23.4,314
2026-05-17,Morocco,Agadir,21.4,59,23.3,0,10.8,270
2026-05-17,Morocco,Agadir,22.1,58,24.0,0,11.9,273
2026-05-17,Morocco,Agadir,24.0,54,24.4,0,19.1,290
2026-05-18,Morocco,Agadir,22.2,63,23.0,0,5.4,172
2026-05-19,Morocco,Agadir,19.6,80,20.5,2,8.5,168
2026-05-20,Morocco,Agadir,20.5,74,21.7,0,5.2,258
2026-05-21,Morocco,Agadir,23.9,62,25.3,0,4.8,283
2026-05-22,Morocco,Agadir,24.5,57,24.7,0,11.1,283
2026-05-23,Morocco,Agadir,21.9,80,25.5,0,11.6,275
2026-05-24,Morocco,Agadir,26.4,55,30.2,0,8.4,280
2026-05-25,Morocco,Agadir,31.7,29,30.6,1,10.6,298
2026-05-26,Morocco,Agadir,29.4,29,28.0,1,8.4,280
2026-05-27,Morocco,Agadir,20.9,85,23.3,2,4.3,204
2026-05-28,Morocco,Agadir,22.8,71,24.9,0,3.1,225
