date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Peru,Machu Picchu,20.8,42,19.7,2,5.6,272
2026-05-17,Peru,Machu Picchu,12.3,66,11.0,1,2.8,108
2026-05-17,Peru,Machu Picchu,14.8,54,13.7,1,0.6,198
2026-05-17,Peru,Machu Picchu,17.4,54,16.5,1,3.1,273
2026-05-18,Peru,Machu Picchu,20.5,48,20.8,53,5.4,304
2026-05-19,Peru,Machu Picchu,21.3,46,22.1,1,5.2,290
2026-05-20,Peru,Machu Picchu,23.1,35,22.9,0,6.5,289
2026-05-21,Peru,Machu Picchu,21.5,40,21.4,2,7.2,298
2026-05-22,Peru,Machu Picchu,22.1,38,22.3,0,6.1,304
2026-05-23,Peru,Machu Picchu,10.9,71,9.6,2,1.8,84
