date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Colombia,Bogota,18.8,62,18.4,51,9.7,152
2026-05-17,Colombia,Bogota,13.4,89,13.3,2,4.2,72
2026-05-17,Colombia,Bogota,15.1,81,15.0,3,4.3,73
2026-05-17,Colombia,Bogota,16.5,72,16.4,3,3.8,101
2026-05-18,Colombia,Bogota,19.5,56,18.8,51,11.0,118
2026-05-19,Colombia,Bogota,18.7,57,18.1,3,11.5,153
2026-05-20,Colombia,Bogota,19.9,57,19.9,51,9.9,142
2026-05-21,Colombia,Bogota,19.5,57,18.5,3,11.1,132
2026-05-22,Colombia,Bogota,19.5,56,20.2,51,9.6,137
2026-05-23,Colombia,Bogota,13.1,86,13.0,1,2.8,50
2026-05-24,Colombia,Bogota,12.4,92,12.5,3,1.1,72
2026-05-25,Colombia,Bogota,19.3,59,19.6,53,12.0,144
2026-05-26,Colombia,Bogota,18.0,68,17.7,51,10.0,144
2026-05-27,Colombia,Bogota,18.5,65,18.2,51,12.7,144
2026-05-28,Colombia,Bogota,18.5,69,19.2,51,6.3,141
2026-05-29,Colombia,Bogota,17.2,76,17.4,63,5.6,92
2026-05-30,Colombia,Bogota,14.6,80,14.4,1,3.3,61
2026-05-31,Colombia,Bogota,17.0,70,16.4,51,7.6,126
2026-06-01,Colombia,Bogota,17.0,69,15.7,51,11.3,143
2026-06-02,Colombia,Bogota,18.6,67,17.9,3,9.4,140
2026-06-03,Colombia,Bogota,19.3,55,17.8,3,10.3,131
2026-06-04,Colombia,Bogota,19.2,58,17.6,51,13.8,141
2026-06-05,Colombia,Bogota,15.3,82,15.0,3,7.2,129
